"","Author","Functions","n"
"72","alyssafrazee","setGeneric",6
"73","alyssafrazee","setMethod",6
"74","alyssafrazee","setReplaceMethod",6
"75","alyssafrazee","shinyServer",3
"76","alyssafrazee","shinyUI",3
"77","alyssafrazee","showHand",9
"78","alyssafrazee","sort",6
"79","alyssafrazee","sortHand",9
"80","alyssafrazee","split",3
"81","alyssafrazee","standardGeneric",6
"82","alyssafrazee","strsplit",15
"83","alyssafrazee","substr",9
"84","alyssafrazee","suit",12
"85","alyssafrazee","sum",9
"86","alyssafrazee","suppressWarnings",6
"87","alyssafrazee","textInput",6
"88","alyssafrazee","textOutput",3
"89","alyssafrazee","trump",12
"90","alyssafrazee","unique",3
"91","alyssafrazee","unlist",3
"92","alyssafrazee","which",15
"93","alyssafrazee","which.max",6
"94","amunategui","abs",3
"95","amunategui","AbstractText",3
"96","amunategui","addBBands",3
"97","amunategui","aes",15
"98","amunategui","ArticleTitle",3
"99","amunategui","as.character",15
"100","amunategui","as.data.frame",15
"101","amunategui","as.Date",6
"102","amunategui","as.dist",3
"103","amunategui","as.factor",21
"104","amunategui","as.logical",3
"105","amunategui","as.matrix",9
"106","amunategui","as.numeric",15
"107","amunategui","as.POSIXlt",3
"108","amunategui","as.xts",3
"109","amunategui","auc",3
"110","amunategui","axis",3
"111","amunategui","barChart",3
"112","amunategui","barplot",3
"113","amunategui","boxplot",3
"114","amunategui","c",48
"115","amunategui","cbind",9
"116","amunategui","ce",3
"117","amunategui","ceiling",3
"118","amunategui","chartSeries",3
"119","amunategui","class",6
"120","amunategui","clean.zipcodes",6
"121","amunategui","close",6
"122","amunategui","col",3
"123","amunategui","colnames",6
"124","amunategui","cor",3
"125","amunategui","cor.prob",3
"126","amunategui","createDataPartition",6
"127","amunategui","cutree",3
"128","amunategui","cv.glmnet",3
"129","amunategui","data",9
"130","amunategui","data.frame",36
"131","amunategui","data.matrix",3
"132","amunategui","diff",3
"133","amunategui","dim",6
"134","amunategui","dir",3
"135","amunategui","download.file",6
"136","amunategui","dput",3
"137","amunategui","droplevels",3
"138","amunategui","dummyVars",21
"139","amunategui","EUtilsGet",3
"140","amunategui","EUtilsSummary",3
"141","amunategui","EvaluateAUC",3
"142","amunategui","file",6
"143","amunategui","flattenSquareMatrix",3
"144","amunategui","floor",18
"145","amunategui","fscaret",3
"146","amunategui","gc",6
"147","amunategui","gdist",3
"148","amunategui","geom_line",6
"149","amunategui","geom_point",9
"150","amunategui","get_map",3
"151","amunategui","GetDiffDays",3
"152","amunategui","getModelInfo",6
"153","amunategui","GetSummaryPlot",6
"154","amunategui","getSymbols",3
"155","amunategui","getURL",15
"156","amunategui","ggmap",3
"157","amunategui","ggplot",12
"158","amunategui","ggtitle",3
"159","amunategui","glmnet",3
"160","amunategui","grepl",12
"161","amunategui","grid.layout",3
"162","amunategui","grid.newpage",3
"163","amunategui","gsub",12
"164","amunategui","hclust",3
"165","amunategui","head",24
"166","amunategui","identical",3
"167","amunategui","ifelse",27
"168","amunategui","IQR",3
"169","amunategui","is.na",21
"170","amunategui","is.null",9
"171","amunategui","lag",3
"172","amunategui","lapply",9
"173","amunategui","length",15
"174","amunategui","levels",6
"175","amunategui","library",39
"176","amunategui","lines",3
"177","amunategui","list",3
"178","amunategui","matrix",3
"179","amunategui","Matrix",3
"180","amunategui","mean",15
"181","amunategui","median",9
"182","amunategui","merge",12
"183","amunategui","multinom",3
"184","amunategui","multiplot",3
"185","amunategui","names",48
"186","amunategui","ncol",9
"187","amunategui","nearZeroVar",3
"188","amunategui","nrow",33
"189","amunategui","order",15
"190","amunategui","pairs.panels",3
"191","amunategui","par",6
"192","amunategui","paste",30
"193","amunategui","paste0",15
"194","amunategui","pf",3
"195","amunategui","plot",6
"196","amunategui","poly",3
"197","amunategui","postResample",3
"198","amunategui","prcomp",3
"199","amunategui","predict",39
"200","amunategui","print",51
"201","amunategui","prop.table",6
"202","amunategui","pushViewport",3
"203","amunategui","quantile",3
"204","amunategui","QueryId",3
"205","amunategui","range",3
"206","amunategui","read.csv",27
"207","amunategui","read.table",12
"208","amunategui","read.xlsx2",3
"209","amunategui","readLines",3
"210","amunategui","rect.hclust",3
"211","amunategui","remove_outliers",3
"212","amunategui","rep",6
"213","amunategui","repalceNAsWithMean",3
"214","amunategui","replace",3
"215","amunategui","require",15
"216","amunategui","return",18
"217","amunategui","rev",3
"218","amunategui","rmse",6
"219","amunategui","roc",12
"220","amunategui","round",3
"221","amunategui","row",3
"222","amunategui","row.names",6
"223","amunategui","rownames",12
"224","amunategui","sample",12
"225","amunategui","sapply",18
"226","amunategui","scale",12
"227","amunategui","scale_color_gradient",3
"228","amunategui","scale_colour_hue",3
"229","amunategui","scale_colour_manual",3
"230","amunategui","scale_x_discrete",6
"231","amunategui","seq",12
"232","amunategui","set.seed",18
"233","amunategui","setdiff",3
"234","amunategui","setwd",3
"235","amunategui","SMOTE",3
"236","amunategui","sparse.model.matrix",3
"237","amunategui","stat_smooth",3
"238","amunategui","stop",3
"239","amunategui","str",6
"240","amunategui","stringdistmatrix",3
"241","amunategui","strsplit",6
"242","amunategui","subset",9
"243","amunategui","sum",3
"244","amunategui","summary",9
"245","amunategui","suppressWarnings",3
"246","amunategui","t",3
"247","amunategui","table",12
"248","amunategui","tempdir",3
"249","amunategui","tempfile",3
"250","amunategui","textConnection",18
"251","amunategui","theme_bw",3
"252","amunategui","train",6
"253","amunategui","trainControl",6
"254","amunategui","unique",6
"255","amunategui","unzip",3
"256","amunategui","upper.tri",3
"257","amunategui","varImp",3
"258","amunategui","viewport",3
"259","amunategui","which",6
"260","amunategui","write.table",3
"261","amunategui","xgboost",9
"262","amunategui","xlab",9
"263","amunategui","xts",3
"264","amunategui","ylab",9
"265","bbolker","hist",3
"266","bbolker","rnorm",3
"267","bcaffo",".Call",12
"268","bcaffo","abline",15
"269","bcaffo","abs",12
"270","bcaffo","actionButton",3
"271","bcaffo","AddImageFile",3
"272","bcaffo","all",27
"273","bcaffo","any",12
"274","bcaffo","anyDuplicated",6
"275","bcaffo","apply",30
"276","bcaffo","arrange",3
"277","bcaffo","array",18
"278","bcaffo","as.character",15
"279","bcaffo","as.data.frame",6
"280","bcaffo","as.double",6
"281","bcaffo","as.factor",6
"282","bcaffo","as.integer",12
"283","bcaffo","as.numeric",6
"284","bcaffo","as.vector",9
"285","bcaffo","attach",3
"286","bcaffo","attr",12
"287","bcaffo","attributes",21
"288","bcaffo","axis",3
"289","bcaffo","bab",3
"290","bcaffo","basename",3
"291","bcaffo","bootstrap.predci",6
"292","bcaffo","boxplot",6
"293","bcaffo","browseURL",3
"294","bcaffo","build.mcx.obj",6
"295","bcaffo","c",177
"296","bcaffo","cab",3
"297","bcaffo","cat",21
"298","bcaffo","cbind",24
"299","bcaffo","ceiling",3
"300","bcaffo","character",3
"301","bcaffo","choose",21
"302","bcaffo","class",15
"303","bcaffo","coef",3
"304","bcaffo","col",3
"305","bcaffo","colMeans",6
"306","bcaffo","colnames",18
"307","bcaffo","colors",3
"308","bcaffo","colSums",3
"309","bcaffo","contour3d",9
"310","bcaffo","cor2vec",6
"311","bcaffo","corCreate",3
"312","bcaffo","cos",15
"313","bcaffo","cumsum",3
"314","bcaffo","data",9
"315","bcaffo","data.frame",45
"316","bcaffo","dbeta",3
"317","bcaffo","dbinom",9
"318","bcaffo","dchisq",3
"319","bcaffo","dens",12
"320","bcaffo","density",15
"321","bcaffo","dev.off",45
"322","bcaffo","dexp",9
"323","bcaffo","dgamma",6
"324","bcaffo","diag",18
"325","bcaffo","dim",33
"326","bcaffo","dir",6
"327","bcaffo","dir.create",6
"328","bcaffo","dist2",6
"329","bcaffo","dnorm",27
"330","bcaffo","dotchart",3
"331","bcaffo","downloadButton",3
"332","bcaffo","downloadHandler",3
"333","bcaffo","downsample",3
"334","bcaffo","dt",12
"335","bcaffo","errorcheck",3
"336","bcaffo","eval",3
"337","bcaffo","exp",9
"338","bcaffo","expand.grid",30
"339","bcaffo","expression",9
"340","bcaffo","extract.data",3
"341","bcaffo","f.read.analyze.header",6
"342","bcaffo","f.read.analyze.volume",9
"343","bcaffo","f.read.nifti.header",3
"344","bcaffo","f.read.nifti.volume",6
"345","bcaffo","factor",12
"346","bcaffo","file.choose",3
"347","bcaffo","file.copy",3
"348","bcaffo","file.edit",3
"349","bcaffo","file.exists",12
"350","bcaffo","file.path",3
"351","bcaffo","fileInput",3
"352","bcaffo","filter",3
"353","bcaffo","fit_generator",3
"354","bcaffo","fitted",3
"355","bcaffo","flow_images_from_directory",3
"356","bcaffo","getAbsolutePath",3
"357","bcaffo","getImage",3
"358","bcaffo","getImageInfo",3
"359","bcaffo","getOption",6
"360","bcaffo","getwd",3
"361","bcaffo","glm",6
"362","bcaffo","gray",3
"363","bcaffo","grep",3
"364","bcaffo","grey",24
"365","bcaffo","h1",3
"366","bcaffo","h2",3
"367","bcaffo","h3",6
"368","bcaffo","h4",6
"369","bcaffo","headerPanel",9
"370","bcaffo","heat.colors",3
"371","bcaffo","hist",3
"372","bcaffo","I",9
"373","bcaffo","image",6
"374","bcaffo","image_data_generator",3
"375","bcaffo","ind2sub",3
"376","bcaffo","inherits",3
"377","bcaffo","inner_join",3
"378","bcaffo","invisible",3
"379","bcaffo","is.character",15
"380","bcaffo","is.data.frame",3
"381","bcaffo","is.double",9
"382","bcaffo","is.function",3
"383","bcaffo","is.integer",3
"384","bcaffo","is.list",3
"385","bcaffo","is.matrix",18
"386","bcaffo","is.na",15
"387","bcaffo","is.null",60
"388","bcaffo","is.numeric",3
"389","bcaffo","isolate",6
"390","bcaffo","jitter",3
"391","bcaffo","keras_model_sequential",3
"392","bcaffo","lapply",12
"393","bcaffo","layer_conv_2d",3
"394","bcaffo","layer_dense",3
"395","bcaffo","layer_flatten",3
"396","bcaffo","layer_max_pooling_2d",3
"397","bcaffo","lbinom",3
"398","bcaffo","legend",6
"399","bcaffo","length",108
"400","bcaffo","lgamma",3
"401","bcaffo","library",33
"402","bcaffo","likelihood",3
"403","bcaffo","lines",51
"404","bcaffo","lines3d",15
"405","bcaffo","list",24
"406","bcaffo","list.files",3
"407","bcaffo","lm",12
"408","bcaffo","lmer",3
"409","bcaffo","load",6
"410","bcaffo","LoadArrayMask",3
"411","bcaffo","loadFunction",3
"412","bcaffo","locator",3
"413","bcaffo","log",24
"414","bcaffo","log10",3
"415","bcaffo","log1p",3
"416","bcaffo","logsume",3
"417","bcaffo","ls",3
"418","bcaffo","mainPanel",9
"419","bcaffo","makeCluster",6
"420","bcaffo","manipulate",3
"421","bcaffo","matrix",51
"422","bcaffo","max",27
"423","bcaffo","mcexact",6
"424","bcaffo","mean",36
"425","bcaffo","median",3
"426","bcaffo","merge",3
"427","bcaffo","min",18
"428","bcaffo","mtext",3
"429","bcaffo","mutate",3
"430","bcaffo","myApply",3
"431","bcaffo","myIcaPlot",3
"432","bcaffo","n",3
"433","bcaffo","names",18
"434","bcaffo","ncol",6
"435","bcaffo","nrow",27
"436","bcaffo","ntim",6
"437","bcaffo","numericInput",6
"438","bcaffo","on.exit",3
"439","bcaffo","open3d",9
"440","bcaffo","order",24
"441","bcaffo","ORlikelihood",3
"442","bcaffo","pageWithSidebar",9
"443","bcaffo","par",21
"444","bcaffo","par3d",6
"445","bcaffo","parApply",3
"446","bcaffo","parLapply",3
"447","bcaffo","parse",3
"448","bcaffo","paste",51
"449","bcaffo","pdf",21
"450","bcaffo","persp3d",3
"451","bcaffo","plot",87
"452","bcaffo","plot_jpeg",3
"453","bcaffo","plot3d",6
"454","bcaffo","png",15
"455","bcaffo","points",9
"456","bcaffo","poisson",3
"457","bcaffo","polygon",15
"458","bcaffo","postscript",6
"459","bcaffo","power.t.test",3
"460","bcaffo","predict",18
"461","bcaffo","print",24
"462","bcaffo","print.brisk",3
"463","bcaffo","prod",9
"464","bcaffo","pt",6
"465","bcaffo","PvleProj",3
"466","bcaffo","qchisq",3
"467","bcaffo","qnorm",12
"468","bcaffo","qqline",3
"469","bcaffo","qqnorm",3
"470","bcaffo","qr",6
"471","bcaffo","qt",9
"472","bcaffo","quantile",12
"473","bcaffo","randomForest",6
"474","bcaffo","range",33
"475","bcaffo","rasterImage",3
"476","bcaffo","rbeta",3
"477","bcaffo","rbind",9
"478","bcaffo","rbinom",9
"479","bcaffo","rchisq",3
"480","bcaffo","reactiveText",3
"481","bcaffo","read.ANALYZE",3
"482","bcaffo","read.csv",6
"483","bcaffo","read.NIFTI",3
"484","bcaffo","read.table",9
"485","bcaffo","readJPEG",3
"486","bcaffo","readNIfTI",9
"487","bcaffo","renderPrint",6
"488","bcaffo","rep",69
"489","bcaffo","require",9
"490","bcaffo","return",84
"491","bcaffo","rev",18
"492","bcaffo","rexp",6
"493","bcaffo","rfImpute",6
"494","bcaffo","rm",21
"495","bcaffo","rmvnorm",3
"496","bcaffo","rnorm",12
"497","bcaffo","roiStamperOuter",3
"498","bcaffo","rotationMatrix",3
"499","bcaffo","round",27
"500","bcaffo","rounded.tprob",12
"501","bcaffo","row",3
"502","bcaffo","rownames",6
"503","bcaffo","rowSums",3
"504","bcaffo","rrTest",3
"505","bcaffo","rt",6
"506","bcaffo","runif",9
"507","bcaffo","runit",3
"508","bcaffo","RunPvle",3
"509","bcaffo","sample",27
"510","bcaffo","sapply",51
"511","bcaffo","save",9
"512","bcaffo","scan",3
"513","bcaffo","sd",18
"514","bcaffo","select",3
"515","bcaffo","selectInput",9
"516","bcaffo","seq",108
"517","bcaffo","shinyServer",9
"518","bcaffo","shinyUI",9
"519","bcaffo","showCols1",3
"520","bcaffo","sidebarPanel",9
"521","bcaffo","simPower",3
"522","bcaffo","simtable.bab",3
"523","bcaffo","simtable.cab",3
"524","bcaffo","sin",12
"525","bcaffo","slice",3
"526","bcaffo","slider",3
"527","bcaffo","solve",3
"528","bcaffo","sort",12
"529","bcaffo","source",12
"530","bcaffo","spheres3d",18
"531","bcaffo","sqrt",48
"532","bcaffo","stat",15
"533","bcaffo","stop",45
"534","bcaffo","stopCluster",6
"535","bcaffo","stopifnot",12
"536","bcaffo","str_replace",3
"537","bcaffo","str_split",3
"538","bcaffo","strsplit",6
"539","bcaffo","sub",6
"540","bcaffo","sum",54
"541","bcaffo","summary",6
"542","bcaffo","Sweave",3
"543","bcaffo","switch",6
"544","bcaffo","system",6
"545","bcaffo","system.time",3
"546","bcaffo","t",30
"547","bcaffo","table",6
"548","bcaffo","tail",3
"549","bcaffo","text",12
"550","bcaffo","text3d",9
"551","bcaffo","textInput",3
"552","bcaffo","textOutput",3
"553","bcaffo","title",24
"554","bcaffo","top_n",3
"555","bcaffo","topo.colors",3
"556","bcaffo","tps",3
"557","bcaffo","unique",12
"558","bcaffo","unlink",3
"559","bcaffo","unlist",27
"560","bcaffo","update",6
"561","bcaffo","upper.tri",12
"562","bcaffo","var",3
"563","bcaffo","VarCorr",3
"564","bcaffo","vec2img",3
"565","bcaffo","vector",15
"566","bcaffo","verbatimTextOutput",6
"567","bcaffo","warning",12
"568","bcaffo","which",18
"569","bcaffo","write.csv",6
"570","bcaffo","writeWebGL",3
"571","benmarwick","a",3
"572","benmarwick","abline",3
"573","benmarwick","abs",3
"574","benmarwick","aes",18
"575","benmarwick","alpha",3
"576","benmarwick","annotate",3
"577","benmarwick","anti_join",3
"578","benmarwick","aov",9
"579","benmarwick","append",3
"580","benmarwick","arrange",9
"581","benmarwick","as",3
"582","benmarwick","as.character",9
"583","benmarwick","as.factor",9
"584","benmarwick","as.numeric",9
"585","benmarwick","as.vector",3
"586","benmarwick","as_data_frame",6
"587","benmarwick","bind_rows",6
"588","benmarwick","by_slice",3
"589","benmarwick","c",21
"590","benmarwick","cbind",3
"591","benmarwick","chisq.test",9
"592","benmarwick","cites_per_year_all",3
"593","benmarwick","classIntervals",3
"594","benmarwick","col_sums",3
"595","benmarwick","colorRampPalette",3
"596","benmarwick","column",3
"597","benmarwick","coord_equal",9
"598","benmarwick","coord_flip",6
"599","benmarwick","coordinates",3
"600","benmarwick","cor",3
"601","benmarwick","cor.test",3
"602","benmarwick","Corpus",3
"603","benmarwick","count",6
"604","benmarwick","crossprod_simple_triplet_matrix",3
"605","benmarwick","cumsum",3
"606","benmarwick","data",6
"607","benmarwick","data.frame",6
"608","benmarwick","data_frame",6
"609","benmarwick","dataTableOutput",3
"610","benmarwick","desc",9
"611","benmarwick","dev.off",3
"612","benmarwick","dim",3
"613","benmarwick","dir",3
"614","benmarwick","div",3
"615","benmarwick","do",3
"616","benmarwick","do.call",3
"617","benmarwick","DocumentTermMatrix",3
"618","benmarwick","dunnTest",3
"619","benmarwick","duplicated",3
"620","benmarwick","element_blank",3
"621","benmarwick","element_text",6
"622","benmarwick","facet_wrap",6
"623","benmarwick","filter",15
"624","benmarwick","findColours",3
"625","benmarwick","first_person_prop",3
"626","benmarwick","flatten_dbl",3
"627","benmarwick","fluidPage",3
"628","benmarwick","fluidRow",3
"629","benmarwick","fromJSON",3
"630","benmarwick","funs",6
"631","benmarwick","gather",6
"632","benmarwick","gDistance",3
"633","benmarwick","geom_bar",3
"634","benmarwick","geom_boxplot",15
"635","benmarwick","geom_col",6
"636","benmarwick","geom_density",3
"637","benmarwick","geom_errorbar",3
"638","benmarwick","geom_errorbarh",3
"639","benmarwick","geom_histogram",9
"640","benmarwick","geom_jitter",9
"641","benmarwick","geom_line",6
"642","benmarwick","geom_point",15
"643","benmarwick","geom_sina",6
"644","benmarwick","geom_smooth",6
"645","benmarwick","geom_text",3
"646","benmarwick","geom_text_repel",3
"647","benmarwick","geom_vline",6
"648","benmarwick","ggplot",18
"649","benmarwick","ggplotly",9
"650","benmarwick","ggsave",9
"651","benmarwick","ggtitle",9
"652","benmarwick","glimpse",3
"653","benmarwick","grepl",6
"654","benmarwick","gridded",3
"655","benmarwick","group_by",15
"656","benmarwick","gsub",9
"657","benmarwick","guides",3
"658","benmarwick","h3",3
"659","benmarwick","head",6
"660","benmarwick","helpText",3
"661","benmarwick","hist",6
"662","benmarwick","ifelse",6
"663","benmarwick","inner_join",3
"664","benmarwick","install.packages",9
"665","benmarwick","install_github",3
"666","benmarwick","installed.packages",3
"667","benmarwick","is.na",3
"668","benmarwick","kruskal.test",9
"669","benmarwick","lab_brk",3
"670","benmarwick","labs",6
"671","benmarwick","lapply",3
"672","benmarwick","left_join",3
"673","benmarwick","length",9
"674","benmarwick","library",21
"675","benmarwick","list",6
"676","benmarwick","list.files",3
"677","benmarwick","loadBINdata",3
"678","benmarwick","locale",3
"679","benmarwick","log",3
"680","benmarwick","log2_trans",3
"681","benmarwick","mainPanel",3
"682","benmarwick","make.names",3
"683","benmarwick","map",6
"684","benmarwick","map_int",3
"685","benmarwick","matplot",3
"686","benmarwick","matrix",3
"687","benmarwick","mean",6
"688","benmarwick","median",3
"689","benmarwick","min",3
"690","benmarwick","mutate",18
"691","benmarwick","my_data",3
"692","benmarwick","my_data_citation",3
"693","benmarwick","my_data_citation_term",3
"694","benmarwick","my_data_citation_term_top_cited",3
"695","benmarwick","my_data_term",3
"696","benmarwick","n",6
"697","benmarwick","names",9
"698","benmarwick","ncol",3
"699","benmarwick","nest",3
"700","benmarwick","nrow",6
"701","benmarwick","p",3
"702","benmarwick","paste",3
"703","benmarwick","paste0",9
"704","benmarwick","pdf",3
"705","benmarwick","pickBINdata",3
"706","benmarwick","plasma",3
"707","benmarwick","plot",12
"708","benmarwick","plotOutput",3
"709","benmarwick","png",3
"710","benmarwick","points",3
"711","benmarwick","Polygon",3
"712","benmarwick","Polygons",3
"713","benmarwick","position_jitter",3
"714","benmarwick","posthoc.kruskal.nemenyi.test",6
"715","benmarwick","prep_fun",3
"716","benmarwick","prettyNum",3
"717","benmarwick","print",3
"718","benmarwick","pull",3
"719","benmarwick","qgraph",3
"720","benmarwick","qqline",6
"721","benmarwick","qqnorm",6
"722","benmarwick","quantile",3
"723","benmarwick","range",9
"724","benmarwick","rank",3
"725","benmarwick","rbind",3
"726","benmarwick","reactive",3
"727","benmarwick","read_csv",12
"728","benmarwick","read_excel",9
"729","benmarwick","read_file",3
"730","benmarwick","readRDS",3
"731","benmarwick","rename",3
"732","benmarwick","renderDataTable",3
"733","benmarwick","renderPlot",3
"734","benmarwick","reorder",6
"735","benmarwick","rep",3
"736","benmarwick","require",3
"737","benmarwick","round",9
"738","benmarwick","round_any",3
"739","benmarwick","row.names",3
"740","benmarwick","row_number",3
"741","benmarwick","rownames",3
"742","benmarwick","runif",3
"743","benmarwick","sample",6
"744","benmarwick","scale",3
"745","benmarwick","scale_colour_brewer",3
"746","benmarwick","scale_colour_manual",3
"747","benmarwick","scale_fill_manual",6
"748","benmarwick","scale_fill_viridis",3
"749","benmarwick","scale_x_continuous",9
"750","benmarwick","scale_x_discrete",3
"751","benmarwick","scale_x_log10",3
"752","benmarwick","scale_y_continuous",9
"753","benmarwick","scale_y_log10",6
"754","benmarwick","scale_y_reverse",3
"755","benmarwick","scopus_all_archaeology_year_range",3
"756","benmarwick","scopus_all_archaeology_year_range_term",3
"757","benmarwick","sd",3
"758","benmarwick","select",15
"759","benmarwick","seq",3
"760","benmarwick","seq_len",3
"761","benmarwick","set.seed",3
"762","benmarwick","setdiff",3
"763","benmarwick","shapiro.test",9
"764","benmarwick","shinyApp",3
"765","benmarwick","slice",3
"766","benmarwick","sliderInput",3
"767","benmarwick","sort",3
"768","benmarwick","SpatialPoints",3
"769","benmarwick","SpatialPolygons",3
"770","benmarwick","split",3
"771","benmarwick","spread",9
"772","benmarwick","sqrt",3
"773","benmarwick","stat_poly_eq",3
"774","benmarwick","stat_smooth",3
"775","benmarwick","str",9
"776","benmarwick","str_c",3
"777","benmarwick","str_count",3
"778","benmarwick","str_extract_all",3
"779","benmarwick","str_match",3
"780","benmarwick","str_replace_all",3
"781","benmarwick","str_split",3
"782","benmarwick","stri_count_words",3
"783","benmarwick","strsplit",3
"784","benmarwick","sum",15
"785","benmarwick","summarise",9
"786","benmarwick","summarise_each",3
"787","benmarwick","summarise_if",3
"788","benmarwick","summary",9
"789","benmarwick","Sys.setlocale",3
"790","benmarwick","t",3
"791","benmarwick","t.test",9
"792","benmarwick","table",6
"793","benmarwick","tail",3
"794","benmarwick","tally",9
"795","benmarwick","TermDocumentMatrix",3
"796","benmarwick","text",3
"797","benmarwick","textInput",3
"798","benmarwick","theme",12
"799","benmarwick","theme_bw",15
"800","benmarwick","theme_minimal",6
"801","benmarwick","tidy",6
"802","benmarwick","titlePanel",3
"803","benmarwick","tolower",6
"804","benmarwick","TukeyHSD",9
"805","benmarwick","ungroup",3
"806","benmarwick","unique",6
"807","benmarwick","unlist",9
"808","benmarwick","unnest",6
"809","benmarwick","unnest_tokens",3
"810","benmarwick","vector",6
"811","benmarwick","VectorSource",3
"812","benmarwick","verbatimTextOutput",3
"813","benmarwick","View",3
"814","benmarwick","wes_palette",3
"815","benmarwick","which",3
"816","benmarwick","wilcox.test",9
"817","benmarwick","with",6
"818","benmarwick","withTags",3
"819","benmarwick","wordcloud",3
"820","benmarwick","write.csv",6
"821","benmarwick","write_csv",3
"822","benmarwick","xlab",9
"823","benmarwick","xlim",3
"824","benmarwick","ylab",9
"825","briatte",".",30
"826","briatte",".libPaths",3
"827","briatte","abs",3
"828","briatte","add",3
"829","briatte","adply",3
"830","briatte","aes",60
"831","briatte","aes_string",3
"832","briatte","aggregate",9
"833","briatte","all.vars",3
"834","briatte","annotate",3
"835","briatte","anova",3
"836","briatte","as.character",15
"837","briatte","as.data.frame",3
"838","briatte","as.Date",3
"839","briatte","as.integer",6
"840","briatte","as.matrix",18
"841","briatte","as.numeric",24
"842","briatte","as.phylo",3
"843","briatte","as.POSIXct",3
"844","briatte","as.table",3
"845","briatte","as.vector",3
"846","briatte","attach",3
"847","briatte","attr",9
"848","briatte","barplot",3
"849","briatte","barplot2",3
"850","briatte","betweenness",3
"851","briatte","biplot",3
"852","briatte","bmi",3
"853","briatte","bmi.quetelet",3
"854","briatte","boxplot",3
"855","briatte","brewer.pal",21
"856","briatte","build.corpus",3
"857","briatte","by",15
"858","briatte","c",102
"859","briatte","cat",12
"860","briatte","cbind",12
"861","briatte","chisq.test",3
"862","briatte","class",15
"863","briatte","clusplot",3
"864","briatte","coef",12
"865","briatte","colMeans",3
"866","briatte","colnames",3
"867","briatte","colorRampPalette",3
"868","briatte","cooks.distance",3
"869","briatte","coord_equal",3
"870","briatte","coord_flip",6
"871","briatte","coord_map",3
"872","briatte","cor",6
"873","briatte","coredata",3
"874","briatte","corrplot",6
"875","briatte","countrycode",15
"876","briatte","cpt.mean",3
"877","briatte","cumsum",3
"878","briatte","cut",12
"879","briatte","cutree",3
"880","briatte","data",3
"881","briatte","data.frame",54
"882","briatte","data.matrix",3
"883","briatte","date",3
"884","briatte","ddply",30
"885","briatte","density",3
"886","briatte","describe",3
"887","briatte","diag",6
"888","briatte","diff",9
"889","briatte","dimnames",3
"890","briatte","dir.create",9
"891","briatte","display",3
"892","briatte","display.brewer.pal",3
"893","briatte","dist",3
"894","briatte","dmy",3
"895","briatte","do.call",6
"896","briatte","dotchart",3
"897","briatte","download",57
"898","briatte","element_blank",12
"899","briatte","element_rect",3
"900","briatte","element_text",6
"901","briatte","exists",3
"902","briatte","exp",6
"903","briatte","expression",3
"904","briatte","facet_grid",9
"905","briatte","facet_wrap",3
"906","briatte","factor",27
"907","briatte","file.copy",3
"908","briatte","file.exists",72
