"autor","funkcja"
"Yongming Andrew","tkselection.set"
"Yongming Andrew","tkset"
"Yongming Andrew","tktext"
"Yongming Andrew","tktoplevel"
"Yongming Andrew","tkwm.focusmodel"
"Yongming Andrew","tkwm.title"
"Yongming Andrew","tkyview"
"Yongming Andrew","vector"
"Yongming Andrew","Sys.time"
"Yongming Andrew","dev.copy"
"Yongming Andrew","dev.off"
"Yongming Andrew","approx"
"Yongming Andrew","median"
"Yongming Andrew","quantile"
"Yongming Andrew","hclust"
"Yongming Andrew","heatmap"
"Yongming Andrew","axis"
"Yongming Andrew","box"
"Yongming Andrew","image"
"Yongming Andrew","par"
"Yongming Andrew","plot"
"Yongming Andrew","text"
"Yongming Andrew","rgb"
"Yongming Andrew","jpeg"
"Yongming Andrew","pdf"
"Yongming Andrew","rainbow"
"Yongming Andrew","intersect"
"Yongming Andrew","rgcolorsfunc"
"Yongming Andrew","write.csv"
"Yongming Andrew","write.table"
"Yongming Andrew","union"
"Wentao Yang","c"
"Wentao Yang","is.null"
"Wentao Yang","length"
"Wentao Yang","counts"
"Wentao Yang","normalFactors"
"Wentao Yang","rep"
"Wentao Yang","stop"
"Wentao Yang","message"
"Wentao Yang","names"
"Wentao Yang","paste"
"Wentao Yang","is"
"Wentao Yang","standardGeneric"
"Wentao Yang","sFactors"
"Wentao Yang","callParameterwithoutReplicates"
"Wentao Yang","estimateSizeFactorsForMatrix"
"Wentao Yang","excounts"
"Wentao Yang","return"
"Wentao Yang","rownames"
"Wentao Yang","sum"
"Wentao Yang","t"
"Wentao Yang","levels"
"Wentao Yang","list"
"Wentao Yang","log"
"Wentao Yang","log2"
"Wentao Yang","max"
"Wentao Yang","mean"
"Wentao Yang","min"
"Wentao Yang","missing"
"Wentao Yang","ncol"
"Wentao Yang","nrow"
"Wentao Yang","pmax"
"Wentao Yang","pmin"
"Wentao Yang","require"
"Wentao Yang","round"
"Wentao Yang","rowMeans"
"Wentao Yang","rowSums"
"Wentao Yang","seq"
"Wentao Yang","sqrt"
"Wentao Yang","setMethod"
"Wentao Yang","setReplaceMethod"
"Wentao Yang","genAFold"
"Wentao Yang","LevelstoNormFC"
"Wentao Yang","lmFit"
"Wentao Yang","locfit"
"Wentao Yang","locfunc"
"Wentao Yang","lp"
"Wentao Yang","maxRates"
"Wentao Yang","minimalDispersion"
"Wentao Yang","minRates"
"Wentao Yang","paired"
"Wentao Yang","preAFold"
"Wentao Yang","qtotalNormalized"
"Wentao Yang","ragfil"
"Wentao Yang","ReplaceOutliersByMAD"
"Wentao Yang","rowQuar"
"Wentao Yang","Sys.time"
"Wentao Yang","tapply"
"Wentao Yang","which.max"
"Wentao Yang","mad"
"Wentao Yang","median"
"Wentao Yang","model.matrix"
"Wentao Yang","p.adjust"
"Wentao Yang","pnbinom"
"Wentao Yang","pnorm"
"Wentao Yang","signature"
"Wentao Yang","plot"
"Wentao Yang","validObject"
"Wentao Yang","setValidity"
"Wentao Yang","groups"
"Wentao Yang","predict"
"Wentao Yang","quantile"
"Wentao Yang","sd"
"Wentao Yang","var"
"Juan Pablo","as.integer"
"Juan Pablo","as.list"
"Juan Pablo","as.matrix"
"Juan Pablo","ac"
"Juan Pablo","stp"
"Juan Pablo","c"
"Juan Pablo","class"
"Juan Pablo","colnames"
"Juan Pablo","eigen"
"Juan Pablo","is.character"
"Juan Pablo","is.null"
"Juan Pablo","addmargins"
"Juan Pablo","bcaFDR"
"Juan Pablo","fdr"
"Juan Pablo","qval"
"Juan Pablo","length"
"Juan Pablo","list"
"Juan Pablo","match.call"
"Juan Pablo","names"
"Juan Pablo","ncol"
"Juan Pablo","nrow"
"Juan Pablo","order"
"Juan Pablo","paste"
"Juan Pablo","rep"
"Juan Pablo","rownames"
"Juan Pablo","stop"
"Juan Pablo","sum"
"Juan Pablo","t"
"Juan Pablo","table"
"Juan Pablo","vector"
"Juan Pablo","cor"
"Juan Pablo","var"
"Juan Pablo","barplot"
"Juan Pablo","mtext"
"Juan Pablo","par"
"Juan Pablo","plot"
"Juan Pablo","points"
"Juan Pablo","polygon"
"Juan Pablo","italic"
"Jane Fridlyand","abs"
"Jane Fridlyand","c"
"Jane Fridlyand","cat"
"Jane Fridlyand","read.table"
"Jane Fridlyand","distfun"
"Jane Fridlyand","hclustfun"
"Jane Fridlyand","cbind"
"Jane Fridlyand","is.na"
"Jane Fridlyand","length"
"Jane Fridlyand","list"
"Jane Fridlyand","nrow"
"Jane Fridlyand","numeric"
"Jane Fridlyand","maPalette"
"Jane Fridlyand","mt.maxT"
"Jane Fridlyand","sample.names"
"Jane Fridlyand","lengthGain.na"
"Jane Fridlyand","lengthLoss.na"
"Jane Fridlyand","order"
"Jane Fridlyand","return"
"Jane Fridlyand","signif"
"Jane Fridlyand","sort"
"Jane Fridlyand","sum"
"Jane Fridlyand","unique"
"Jane Fridlyand","which"
"Jane Fridlyand","inherits"
"Jane Fridlyand","integer"
"Jane Fridlyand","log"
"Jane Fridlyand","matrix"
"Jane Fridlyand","max"
"Jane Fridlyand","mean"
"Jane Fridlyand","min"
"Jane Fridlyand","ncol"
"Jane Fridlyand","paste"
"Jane Fridlyand","rep"
"Jane Fridlyand","sapply"
"Jane Fridlyand","seq"
"Jane Fridlyand","sqrt"
"Jane Fridlyand","stop"
"Jane Fridlyand","log2.ratios"
"Jane Fridlyand","log2.ratios.imputed"
"Jane Fridlyand","phenotype"
"Jane Fridlyand","plotFreqStat"
"Jane Fridlyand","prop.na"
"Jane Fridlyand","propGain.na"
"Jane Fridlyand","propLoss.na"
"Jane Fridlyand","sd.samples"
"Jane Fridlyand","strata"
"Jane Fridlyand","survdiff"
"Jane Fridlyand","table.bac.func"
"Jane Fridlyand","threshold.func"
"Jane Fridlyand","try"
"Jane Fridlyand","vector"
"Jane Fridlyand","which.min"
"Jane Fridlyand","switch"
"Jane Fridlyand","t"
"Jane Fridlyand","with"
"Jane Fridlyand","dev.off"
"Jane Fridlyand","pdf"
"Jane Fridlyand","ansari.test"
"Jane Fridlyand","median"
"Jane Fridlyand","wilcox.test"
"Jane Fridlyand","mad"
"Jane Fridlyand","sd"
"Jane Fridlyand","abline"
"Jane Fridlyand","close.screen"
"Jane Fridlyand","mtext"
"Jane Fridlyand","par"
"Jane Fridlyand","plot"
"Jane Fridlyand","points"
"Jane Fridlyand","screen"
"Jane Fridlyand","split.screen"
"Jane Fridlyand","title"
"Jane Fridlyand","rainbow"
"Jane Fridlyand","postscript"
"Jane Fridlyand","rgb"
"Jane Fridlyand","combine.func"
"Sean Davis","cat"
"Sean Davis","class"
"Sean Davis","data.frame"
"Sean Davis","write.table"
"Sean Davis","chromosome"
"Sean Davis","exprs"
"Sean Davis","file.path"
"Sean Davis","log10"
"Sean Davis","min"
"Sean Davis","ncol"
"Sean Davis","sprintf"
"Sean Davis","new"
"Sean Davis","start"
"Sean Davis","sampleNames"
"Sean Davis","threshold"
"Sean Davis","vals"
"Sean Davis","phenoData"
"Sean Davis","writeLines"
"Sean Davis","return"
"Sean Davis","which"
"Sean Davis","vector"
"Sean Davis","matrix"
"Sean Davis","missing"
"Sean Davis","nargs"
"Sean Davis","nrow"
"Sean Davis","numeric"
"Sean Davis","paste"
"Sean Davis","print"
"Sean Davis","standardGeneric"
"Sean Davis","stop"
"Sean Davis","sum"
"Sean Davis","as"
"Sean Davis","windowChisq"
"Sean Davis","validMsg"
"Sean Davis","end"
"Sean Davis","abline"
"Sean Davis","axis"
"Sean Davis","par"
"Sean Davis","plot"
"Sean Davis","getRefflat"
"Sean Davis","representation"
"Sean Davis","setClass"
"Sean Davis","setGeneric"
"Sean Davis","setMethod"
"Sean Davis","download.file"
"Sean Davis","read.delim"
"Sean Davis","setValidity"
"Ramon Diaz-Uriarte","abs"
"Ramon Diaz-Uriarte","c"
"Ramon Diaz-Uriarte","cat"
"Ramon Diaz-Uriarte","buildIM"
"Ramon Diaz-Uriarte","fig2dev"
"Ramon Diaz-Uriarte","cbind"
"Ramon Diaz-Uriarte","ceiling"
"Ramon Diaz-Uriarte","class"
"Ramon Diaz-Uriarte","cos"
"Ramon Diaz-Uriarte","invisible"
"Ramon Diaz-Uriarte","is.null"
"Ramon Diaz-Uriarte","imRect"
"Ramon Diaz-Uriarte","moHTML"
"Ramon Diaz-Uriarte","plt2fig"
"Ramon Diaz-Uriarte","toHTML"
"Ramon Diaz-Uriarte","usr2dev"
"Ramon Diaz-Uriarte","lapply"
"Ramon Diaz-Uriarte","length"
"Ramon Diaz-Uriarte","list"
"Ramon Diaz-Uriarte","names"
"Ramon Diaz-Uriarte","paste"
"Ramon Diaz-Uriarte","rbind"
"Ramon Diaz-Uriarte","return"
"Ramon Diaz-Uriarte","sin"
"Ramon Diaz-Uriarte","t"
"Ramon Diaz-Uriarte","UseMethod"
"Ramon Diaz-Uriarte","which"
"Ramon Diaz-Uriarte","data.frame"
"Ramon Diaz-Uriarte","date"
"Ramon Diaz-Uriarte","deparse"
"Ramon Diaz-Uriarte","diff"
"Ramon Diaz-Uriarte","dir.create"
"Ramon Diaz-Uriarte","double"
"Ramon Diaz-Uriarte","duplicated"
"Ramon Diaz-Uriarte","environment"
"Ramon Diaz-Uriarte","environmentName"
"Ramon Diaz-Uriarte","eval"
"Ramon Diaz-Uriarte","exists"
"Ramon Diaz-Uriarte","factor"
"Ramon Diaz-Uriarte","file.exists"
"Ramon Diaz-Uriarte","file.path"
"Ramon Diaz-Uriarte","floor"
"Ramon Diaz-Uriarte","formals"
"Ramon Diaz-Uriarte","usr2plt"
"Ramon Diaz-Uriarte","usr2png"
"Ramon Diaz-Uriarte","xytrans"
"Ramon Diaz-Uriarte","xytrans2"
"Ramon Diaz-Uriarte","caughtOurError2"
"Ramon Diaz-Uriarte","caughtUserError2"
"Ramon Diaz-Uriarte","chrBreakpoints"
"Ramon Diaz-Uriarte","cluster.clean.quit.Web"
"Ramon Diaz-Uriarte","clusterApply"
"Ramon Diaz-Uriarte","clusterApplyLB"
"Ramon Diaz-Uriarte","create.aCGH"
"Ramon Diaz-Uriarte","createTableArrChrom"
"Ramon Diaz-Uriarte","daglad.ADa.1"
"Ramon Diaz-Uriarte","delete"
"Ramon Diaz-Uriarte","DelRegionTooSmall"
"Ramon Diaz-Uriarte","detectCores"
"Ramon Diaz-Uriarte","distribute"
"Ramon Diaz-Uriarte","expungeNA"
"Ramon Diaz-Uriarte","ff"
"Ramon Diaz-Uriarte","ffListOut"
"Ramon Diaz-Uriarte","fforder"
"Ramon Diaz-Uriarte","ffVecOut"
"Ramon Diaz-Uriarte","filename"
"Ramon Diaz-Uriarte","gc"
"Ramon Diaz-Uriarte","get"
"Ramon Diaz-Uriarte","getwd"
"Ramon Diaz-Uriarte","identical"
"Ramon Diaz-Uriarte","ifelse"
"Ramon Diaz-Uriarte","inherits"
"Ramon Diaz-Uriarte","integer"
"Ramon Diaz-Uriarte","is.factor"
"Ramon Diaz-Uriarte","is.infinite"
"Ramon Diaz-Uriarte","is.na"
"Ramon Diaz-Uriarte","is.nan"
"Ramon Diaz-Uriarte","is.numeric"
"Ramon Diaz-Uriarte","list.files"
"Ramon Diaz-Uriarte","load"
"Ramon Diaz-Uriarte","local"
"Ramon Diaz-Uriarte","log"
"Ramon Diaz-Uriarte","log2"
"Ramon Diaz-Uriarte","dev.cur"
"Ramon Diaz-Uriarte","dev.off"
"Ramon Diaz-Uriarte","median"
"Ramon Diaz-Uriarte","pnorm"
"Ramon Diaz-Uriarte","na.omit"
"Ramon Diaz-Uriarte","qnorm"
"Ramon Diaz-Uriarte","runif"
"Ramon Diaz-Uriarte","lines"
"Ramon Diaz-Uriarte","par"
"Ramon Diaz-Uriarte","rect"
"Ramon Diaz-Uriarte","strheight"
"Ramon Diaz-Uriarte","strwidth"
"Ramon Diaz-Uriarte","symbols"
"Ramon Diaz-Uriarte","rug"
"Ramon Diaz-Uriarte","text"
"Ramon Diaz-Uriarte","dev.set"
"Ramon Diaz-Uriarte","png"
"Ramon Diaz-Uriarte","capture.output"
"Ramon Diaz-Uriarte","data"
"Ramon Diaz-Uriarte","file_test"
"Ramon Diaz-Uriarte","object.size"
"Ramon Diaz-Uriarte","intersect"
"Ramon Diaz-Uriarte","setdiff"
"Ramon Diaz-Uriarte","update"
"Ramon Diaz-Uriarte","filterBkpStep"
"Ramon Diaz-Uriarte","find.hmm.states"
"Ramon Diaz-Uriarte","fit.model"
"Ramon Diaz-Uriarte","gcmessage"
"Ramon Diaz-Uriarte","getbdry"
"Ramon Diaz-Uriarte","getCGHValue"
"Ramon Diaz-Uriarte","getChromValue"
"Ramon Diaz-Uriarte","getffObj"
"Ramon Diaz-Uriarte","getffObjNoOpen"
"Ramon Diaz-Uriarte","getNames"
"Ramon Diaz-Uriarte","getOutValue"
"Ramon Diaz-Uriarte","getOutValueRAM3"
"Ramon Diaz-Uriarte","getPosValue"
"Ramon Diaz-Uriarte","hmm"
"Ramon Diaz-Uriarte","hmmWrapper"
"Ramon Diaz-Uriarte","imagemap3"
"Ramon Diaz-Uriarte","imClose3"
"Ramon Diaz-Uriarte","imodwt"
"Ramon Diaz-Uriarte","inpungeNA"
"Ramon Diaz-Uriarte","internalDNAcopySegm"
"Ramon Diaz-Uriarte","internalDNAcopySmooth"
"Ramon Diaz-Uriarte","intrle"
"Ramon Diaz-Uriarte","IQRdiff"
"Ramon Diaz-Uriarte","is.ff"
"Ramon Diaz-Uriarte","is.ffdf"
"Ramon Diaz-Uriarte","is.wholeposnumber"
"Ramon Diaz-Uriarte","mcc"
"Ramon Diaz-Uriarte","mclapply"
"Ramon Diaz-Uriarte","mergeLevels"
"Ramon Diaz-Uriarte","modwt"
"Ramon Diaz-Uriarte","MoveBkpStep"
"Ramon Diaz-Uriarte","nfields.one.line"
"Ramon Diaz-Uriarte","nlines.to.skip.and.nf"
"Ramon Diaz-Uriarte","OptimBkpFindCluster"
"Ramon Diaz-Uriarte","our.hybrid"
"Ramon Diaz-Uriarte","ourMerge"
"Ramon Diaz-Uriarte","OutliersGNL"
"Ramon Diaz-Uriarte","outToffdf2"
"Ramon Diaz-Uriarte","pam"
"Ramon Diaz-Uriarte","piccardsKO"
"Ramon Diaz-Uriarte","piccardsStretch01"
"Ramon Diaz-Uriarte","prepare.output.daglad"
"Ramon Diaz-Uriarte","RAM.or.ff"
"Ramon Diaz-Uriarte","ri"
"Ramon Diaz-Uriarte","segment"
"Ramon Diaz-Uriarte","segmentW"
"Ramon Diaz-Uriarte","shrink"
"Ramon Diaz-Uriarte","sizesobj"
"Ramon Diaz-Uriarte","stopCluster"
"Ramon Diaz-Uriarte","the.time.with.sec"
"Ramon Diaz-Uriarte","vectorForArray"
"Ramon Diaz-Uriarte","vectorForArrayL2"
"Ramon Diaz-Uriarte","vectorForArrayRAM"
"Ramon Diaz-Uriarte","vectorForArrayRAM2"
"Ramon Diaz-Uriarte","vectorFromffList"
"Ramon Diaz-Uriarte","vectorFromffList2"
"Ramon Diaz-Uriarte","wrapCreateTableArrChr"
"Ramon Diaz-Uriarte","ls"
"Ramon Diaz-Uriarte","mapply"
"Ramon Diaz-Uriarte","matrix"
"Ramon Diaz-Uriarte","max"
"Ramon Diaz-Uriarte","mean"
"Ramon Diaz-Uriarte","min"
"Ramon Diaz-Uriarte","ncol"
"Ramon Diaz-Uriarte","nrow"
"Ramon Diaz-Uriarte","open"
"Ramon Diaz-Uriarte","order"
"Ramon Diaz-Uriarte","package_version"
"Ramon Diaz-Uriarte","parent.env"
"Ramon Diaz-Uriarte","parent.frame"
"Ramon Diaz-Uriarte","parse"
"Ramon Diaz-Uriarte","print"
"Ramon Diaz-Uriarte","quit"
"Ramon Diaz-Uriarte","rep"
"Ramon Diaz-Uriarte","rep.int"
"Ramon Diaz-Uriarte","requireNamespace"
"Ramon Diaz-Uriarte","rle"
"Ramon Diaz-Uriarte","rm"
"Ramon Diaz-Uriarte","round"
"Ramon Diaz-Uriarte","rownames"
"Ramon Diaz-Uriarte","sample"
"Ramon Diaz-Uriarte","sapply"
"Ramon Diaz-Uriarte","save"
"Ramon Diaz-Uriarte","scan"
"Ramon Diaz-Uriarte","seq.int"
"Ramon Diaz-Uriarte","seq_along"
"Ramon Diaz-Uriarte","seq_len"
"Ramon Diaz-Uriarte","setwd"
"Ramon Diaz-Uriarte","sign"
"Ramon Diaz-Uriarte","sink"
"Ramon Diaz-Uriarte","sort"
"Ramon Diaz-Uriarte","sqrt"
"Ramon Diaz-Uriarte","stop"
"Ramon Diaz-Uriarte","strsplit"
"Ramon Diaz-Uriarte","substitute"
"Ramon Diaz-Uriarte","sum"
"Ramon Diaz-Uriarte","Sys.getpid"
"Ramon Diaz-Uriarte","Sys.info"
"Ramon Diaz-Uriarte","Sys.sleep"
"Ramon Diaz-Uriarte","Sys.time"
"Ramon Diaz-Uriarte","system"
"Ramon Diaz-Uriarte","table"
"Ramon Diaz-Uriarte","tempfile"
"Ramon Diaz-Uriarte","try"
"Ramon Diaz-Uriarte","typeof"
"Ramon Diaz-Uriarte","unique"
"Ramon Diaz-Uriarte","unlist"
"Ramon Diaz-Uriarte","vector"
"Ramon Diaz-Uriarte","warning"
"Ramon Diaz-Uriarte","which.min"
"Ramon Diaz-Uriarte","write"
"Ramon Diaz-Uriarte","packageDescription"
"Ramon Diaz-Uriarte","read.table"
"Weixin Cai","packageStartupMessage"
"Weixin Cai","paste0"
"Weixin Cai","data.frame"
"Weixin Cai","packageDescription"
"Weixin Cai","get_composition"
"Weixin Cai","textxy"
"Weixin Cai","length"
"Weixin Cai","order"
"Weixin Cai","paste"
"Weixin Cai","print"
"Weixin Cai","seq_len"
"Weixin Cai","sort"
"Weixin Cai","setClass"
"Weixin Cai","lm"
"Weixin Cai","assay"
"Weixin Cai","colData"
"Weixin Cai","get_results_adaptmle"
"Weixin Cai","rowData"
"Weixin Cai","SummarizedExperiment"
"Weixin Cai","list"
"Weixin Cai","matrix"
"Weixin Cai","names"
"Weixin Cai","nrow"
"Weixin Cai","return"
"Weixin Cai","rownames"
"Weixin Cai","unique"
"Weixin Cai","unlist"
"Weixin Cai","sapply"
"Weixin Cai","seq_along"
"Weixin Cai","sum"
"Weixin Cai","table"
"Weixin Cai","which"
"Weixin Cai","rep"
"Weixin Cai","sample"
"Weixin Cai","training"
"Weixin Cai","validation"
"Weixin Cai","sqrt"
"Weixin Cai","stop"
"Weixin Cai","structure"
"Weixin Cai","t"
"Weixin Cai","vector"
"Weixin Cai","p.adjust"
"Weixin Cai","pnorm"
"Weixin Cai","qnorm"
"Weixin Cai","abline"
"Weixin Cai","plot"
"Weixin Cai","setdiff"
"Weixin Cai","globalVariables"
"Weixin Cai","head"
"Claudio Lottaz","as.character"
"Claudio Lottaz","as.symbol"
"Claudio Lottaz","as.vector"
"Claudio Lottaz","agnes"
"Claudio Lottaz","computeHamming"
"Claudio Lottaz","attr"
"Claudio Lottaz","c"
"Claudio Lottaz","colnames"
"Claudio Lottaz","eval"
"Claudio Lottaz","format.pval"
"Claudio Lottaz","get"
"Claudio Lottaz","is"
"Claudio Lottaz","computeOverlap"
"Claudio Lottaz","Lkeys"
"Claudio Lottaz","makeEID2PROBESenv"
"Claudio Lottaz","mt.rawp2adjp"
"Claudio Lottaz","randomDiana2means"
"Claudio Lottaz","grep"
"Claudio Lottaz","invisible"
"Claudio Lottaz","is.null"
"Claudio Lottaz","length"
"Claudio Lottaz","list"
"Claudio Lottaz","matrix"
"Claudio Lottaz","max"
"Claudio Lottaz","min"
"Claudio Lottaz","nchar"
"Claudio Lottaz","ncol"
"Claudio Lottaz","nrow"
"Claudio Lottaz","paste"
