"","Functions","n"
"386","geom_jitter",37
"387","scale",37
"388","spread",37
"389","spTransform",37
"390","substitute",37
"391","exit",36
"392","h2",36
"393","ldply",36
"394","mclapply",36
"395","sin",36
"396","str_split",36
"397","substring",36
"398","inner_join",35
"399","month",35
"400","rmse",35
"401","suppressMessages",35
"402","tabsetPanel",35
"403","toJSON",35
"404","context",34
"405","mvrnorm",34
"406","randomForest",34
"407","scale_y_log10",34
"408","setClass",34
"409","SpatialPointsDataFrame",34
"410","attach",33
"411","fileInput",33
"412","getenv",33
"413","pnorm",33
"414","aes_",32
"415","fread",32
"416","layer",32
"417","modifyList",32
"418","reactiveValues",32
"419","rf",32
"420","suppressPackageStartupMessages",32
"421","theme_text",32
"422","as",31
"423","equal",31
"424","finite",31
"425","geom_abline",31
"426","map_df",31
"427","scale_colour_brewer",31
"428","scale_x_log10",31
"429","stat_smooth",31
"430","toupper",31
"431","DMatrix",30
"432","geom_tile",30
"433","guide_legend",30
"434","iArrows",30
"435","map_chr",30
"436","prod",30
"437","read_excel",30
"438","representation",30
"439","sample_n",30
"440","setTxtProgressBar",30
"441","txtProgressBar",30
"442","typeof",30
"443","dashboardBody",29
"444","dashboardHeader",29
"445","dashboardPage",29
"446","dashboardSidebar",29
"447","date_format",29
"448","dbDriver",29
"449","detectCores",29
"450","expand_limits",29
"451","leaflet",29
"452","polygon",29
"453","readline",29
"454","strptime",29
"455","expect_true",28
"456","geom_path",28
"457","geom_rect",28
"458","get_fun_from_pkg",28
"459","hclust",28
"460","movies_subset",28
"461","pData",28
"462","scale_shape_manual",28
"463","append",27
"464","coord_cartesian",27
"465","Corpus",27
"466","double",27
"467","eventReactive",27
"468","fill",27
"469","FindDups",27
"470","gsubfn",27
"471","sign",27
"472","SQLite",27
"473","VectorSource",27
"474","auc",26
"475","choose",26
"476","coord_equal",26
"477","difftime",26
"478","effectplot",26
"479","findCommonID",26
"480","ggproto",26
"481","GRanges",26
"482","grayplot",26
"483","grey",26
"484","h1",26
"485","includeMarkdown",26
"486","position_jitter",26
"487","rpois",26
"488","str_sub",26
"489","style",26
"490","theme_classic",26
"491","colorRampPalette",25
"492","get_map",25
"493","ggmap",25
"494","globalenv",25
"495","init",25
"496","ns",25
"497","pairs",25
"498","prcomp",25
"499","residuals",25
"500","scale_fill_brewer",25
"501","setenv",25
"502","stopwords",25
"503","TermDocumentMatrix",25
"504","colors",24
"505","iconv",24
"506","monadic_spatial_weights",24
"507","movies_sample",24
"508","name",24
"509","regmatches",24
"510","rug",24
"511","slide",24
"512","unnest",24
"513","WDI",24
"514","combn",23
"515","dbSendQuery",23
"516","formula",23
"517","function",23
"518","libPaths",23
"519","makeCluster",23
"520","map_data",23
"521","readHTMLTable",23
"522","script",23
"523","sim",23
"524","unz",23
"525","var",23
"526","conditionalPanel",22
"527","deparse",22
"528","extract",22
"529","getLimitRate",22
"530","headerPanel",22
"531","hsv",22
"532","initial",22
"533","IRanges",22
"534","map_dbl",22
"535","marker",22
"536","monitor",22
"537","MySQL",22
"538","nind",22
"539","normalizePath",22
"540","Ntip",22
"541","OAuthRequest",22
"542","pheno",22
"543","pmin",22
"544","project",22
"545","pull",22
"546","set_names",22
"547","slot",22
"548","sugarize",22
"549","updateNumericInput",22
"550","addTiles",21
"551","droplevels",21
"552","dummyVars",21
"553","fit",21
"554","getText",21
"555","identical",21
"556","map_int",21
"557","menuItem",21
"558","radioButtons",21
"559","recode",21
"560","results_combiner",21
"561","scale_y_discrete",21
"562","source_data",21
"563","stan",21
"564","URLencode",21
"565","View",21
"566","addSource",20
"567","as_data_frame",20
"568","cases",20
"569","date",20
"570","dbWriteTable",20
"571","geom_map",20
"572","helpText",20
"573","mapply",20
"574","mcols",20
"575","need",20
"576","pageWithSidebar",20
"577","qtm",20
"578","rexp",20
"579","scale_color_viridis",20
"580","setGeneric",20
"581","standardGeneric",20
"582","start",20
"583","stopCluster",20
"584","str_pad",20
"585","str_trim",20
"586","theme_minimal",20
"587","validate",20
"588","zip",20
"589","brushedPoints",19
"590","downloadButton",19
"591","downloadHandler",19
"592","geom_area",19
"593","htmlParse",19
"594","leafletOutput",19
"595","pmax",19
"596","read_html",19
"597","renderLeaflet",19
"598","scale_color_discrete",19
"599","scale_colour_gradient",19
"600","scale_fill_gradient",19
"601","scale_linetype_manual",19
"602","sidebarMenu",19
"603","SpatialPoints",19
"604","unzip",19
"605","vcov",19
"606","write",19
"607","by",18
"608","cache",18
"609","commandArgs",18
"610","errorlod",18
"611","expect_that",18
"612","export",18
"613","filename",18
"614","getOAuth",18
"615","ggtree",18
"616","hour",18
"617","importance",18
"618","label",18
"619","location_builder_continuous",18
"620","log2",18
"621","nchr",18
"622","plotLodProfile",18
"623","pretty_plot_title",18
"624","qnorm",18
"625","Reduce",18
"626","registerDoMC",18
"627","requireNamespace",18
"628","scale_color_brewer",18
"629","scale_size_area",18
"630","searchTwitter",18
"631","show",18
"632","spheres3d",18
"633","spline",18
"634","trainControl",18
"635","window",18
"636","counts",17
"637","geom_errorbar",17
"638","ggplotly",17
"639","jitter",17
"640","POSIXlt",17
"641","pushViewport",17
"642","run",17
"643","shQuote",17
"644","size",17
"645","tabItem",17
"646","tabItems",17
"647","tempdir",17
"648","viewport",17
"649","addqtl",16
"650","adjacency",16
"651","adjust",16
"652","as_tibble",16
"653","bind_cols",16
"654","browser",16
"655","callModule",16
"656","config",16
"657","coord_polar",16
"658","dateRangeInput",16
"659","dbListTables",16
"660","dens",16
"661","detach",16
"662","dlply",16
"663","dpois",16
"664","drop",16
"665","eBayes",16
"666","end",16
"667","equals",16
"668","ExecutionEngine",16
"669","feature",16
"670","generate_filename",16
"671","getinfo",16
"672","getNativeSymbolInfo",16
"673","getNodeNum",16
"674","getRoot",16
"675","getUsers",16
"676","gregexpr",16
"677","handshake",16
"678","here",16
"679","image_read",16
"680","kable",16
"681","lgamma",16
"682","lmFit",16
"683","lodint",16
"684","markernames",16
"685","parseTweets",16
"686","pretty",16
"687","pxg",16
"688","qqnorm",16
"689","roc",16
"690","separate",16
"691","sessionInfo",16
"692","stat_summary",16
"693","str_extract",16
"694","str_split_fixed",16
"695","strong",16
"696","sweep",16
"697","topTable",16
"698","tribble",16
"699","update",16
"700","vapply",16
"701","walk",16
"702","writeOGR",16
"703","xlsx",16
"704","xts",16
"705","aov",15
"706","arrow",15
"707","assay",15
"708","atop",15
"709","coord_fixed",15
"710","cv",15
"711","dexp",15
"712","heatmap",15
"713","html_nodes",15
"714","importFile",15
"715","lines3d",15
"716","Map",15
"717","model",15
"718","network",15
"719","newpage",15
"720","nlevels",15
"721","renderTable",15
"722","scale_fill_discrete",15
"723","scale_fill_gradient2",15
"724","scale_linetype",15
"725","stat",15
"726","tableOutput",15
"727","toString",15
"728","union",15
"729","userTimeline",15
"730","volume",15
"731","wday",15
"732","wordcloud",15
"733","addint",14
"734","aq_measurements",14
"735","bayesint",14
"736","Cairo",14
"737","col2rgb",14
"738","compare",14
"739","createDataPartition",14
"740","digest",14
"741","distinct",14
"742","dmvnorm",14
"743","dt",14
"744","E",14
"745","eigen",14
"746","emptyenv",14
"747","enricher_internal",14
"748","extractTitle",14
"749","fitqtl",14
"750","floor_date",14
"751","foreach",14
"752","genoprob_to_snpprob",14
"753","glmnet",14
"754","img",14
"755","index_snps",14
"756","int",14
"757","internal",14
"758","invalidateLater",14
"759","llply",14
"760","llvm",14
"761","lod_int",14
"762","makeqtl",14
"763","mget",14
"764","mysample",14
"765","nearPoints",14
"766","nmissing",14
"767","oauth_app",14
"768","optim",14
"769","packageVersion",14
"770","Plot",14
"771","plot_coefCC",14
"772","plot_genes",14
"773","ppois",14
"774","qqline",14
"775","read_lines",14
"776","refineqtl",14
"777","scale_fill_continuous",14
"778","scan1",14
"779","scan1blup",14
"780","scan1coef",14
"781","stargazer",14
"782","stepwiseqtl",14
"783","test_dir",14
"784","totmar",14
"785","ts",14
"786","uniroot",14
"787","unlistWithNA",14
"788","V",14
"789","vec",14
"790","xpathSApply",14
"791","yearmon",14
"792","alpha",13
"793","brushOpts",13
"794","DESeqDataSetFromMatrix",13
"795","dmy",13
"796","geom_violin",13
"797","getCurlHandle",13
"798","getNodeSet",13
"799","isTRUE",13
"800","qchisq",13
"801","regexpr",13
"802","scale_fill_gradientn",13
"803","scale_size_continuous",13
"804","source_url",13
"805","span",13
"806","tally",13
"807","url",13
"808","useShinyjs",13
"809","vars",13
"810","wellPanel",13
"811","xgboost",13
"812","addLegend",12
"813","addPolygons",12
"814","anova",12
"815","build_Anno",12
"816","calcNormFactors",12
"817","card",12
"818","col",12
"819","day",12
"820","DGEList",12
"821","dirname",12
"822","DpiGet",12
"823","everything",12
"824","fastlm",12
"825","formatFbDate",12
"826","funs",12
"827","geneInCategory",12
"828","geom_col",12
"829","geom_linerange",12
"830","geom_tiplab",12
"831","get_timeline",12
"832","gg_animate",12
"833","h5",12
"834","interaction",12
"835","knn",12
"836","left_merge_inplace",12
"837","llvmAddSymbol",12
"838","map_lgl",12
"839","markers",12
"840","mcmc",12
"841","meiosis",12
"842","mode",12
"843","now",12
"844","nphe",12
"845","NS",12
"846","ntyped",12
"847","number",12
"848","open",12
"849","plot_me",12
"850","q",12
"851","qpois",12
"852","rbindlist",12
"853","ReadAffy",12
"854","registerTwitterOAuth",12
"855","row",12
"856","row_number",12
"857","scantwo",12
"858","shapefile",12
"859","source_gist",12
"860","SpatialPolygonsDataFrame",12
"861","str_extract_all",12
"862","strftime",12
"863","submitButton",12
"864","suit",12
"865","tabBox",12
"866","theme_blank",12
"867","theme_ipsum",12
"868","tip",12
"869","tm_map",12
"870","tprob",12
"871","traceplot",12
"872","transmute",12
"873","trump",12
"874","unname",12
"875","us",12
"876","voom",12
"877","x2_spatial_builder",12
"878","ymd_hms",12
"879","add_headers",11
"880","bayesglm",11
"881","bold",11
"882","browseURL",11
"883","colData",11
"884","dbinom",11
"885","dcast",11
"886","DESeq",11
"887","do",11
"888","gridded",11
"889","header",11
"890","help",11
"891","html_text",11
"892","kmeans",11
"893","percent_format",11
"894","poisson",11
"895","Polygon",11
"896","Polygons",11
"897","qt",11
"898","relevel",11
"899","rescale",11
"900","results",11
"901","rowVars",11
"902","scale_color_gradient2",11
"903","scale_fill_viridis",11
"904","signif",11
"905","slice",11
"906","SpatialPolygons",11
"907","str_to_title",11
"908","theme_rect",11
"909","transform",11
"910","values",11
"911","weekdays",11
"912","addCircleMarkers",10
"913","addpair",10
"914","addtoqtl",10
"915","AffyBatch",10
"916","annotation_custom",10
"917","bzfile",10
"918","chol",10
"919","confint",10
"920","contour",10
"921","coverage",10
"922","coxph",10
"923","crossprod",10
"924","curve",10
"925","dataset",10
"926","degree",10
"927","dropfromqtl",10
"928","fields",10
"929","find",10
"930","frequencies",10
"931","frma",10
"932","get_organism",10
"933","getChild",10
"934","getFriends",10
"935","getGDALVersionInfo",10
"936","getGEO",10
"937","getTokenVersion",10
"938","GridTopology",10
"939","hc_xAxis",10
"940","hchart",10
"941","hide",10
"942","html_attr",10
"943","image_write",10
"944","keys",10
"945","knit",10
"946","libmf",10
"947","logit",10
"948","lpd",10
"949","lu",10
"950","m",10
"951","mapview",10
"952","Module",10
"953","nmar",10
"954","Nnode",10
"955","output",10
"956","penalties",10
"957","plot_ly",10
"958","prep",10
"959","rainbow",10
"960","raster",10
"961","readPNG",10
"962","revalue",10
"963","rgb2hsv",10
"964","ripple",10
"965","setReadable",10
"966","setReplaceMethod",10
"967","shinytheme",10
"968","st_as_sf",10
"969","st_transform",10
"970","stderr",10
"971","stop_for_status",10
"972","str_length",10
"973","sva",10
"974","theme_grey",10
"975","tidy",10
"976","toTable",10
"977","transpose",10
"978","valueBox",10
"979","checkBid",9
"980","contour3d",9
"981","corrplot",9
"982","fitted",9
"983","gbm",9
"984","geom_pointrange",9
"985","geom_text_repel",9
"986","ggnet",9
"987","gray",9
"988","makeDeck",9
"989","MoveFront",9
"990","navbarPage",9
"991","open3d",9
"992","pie",9
"993","quarter",9
"994","rank",9
"995","readNIfTI",9
"996","registerDoSNOW",9
"997","scale_size",9
"998","scale_x_datetime",9
"999","scatterplotMatrix",9
"1000","showHand",9
"1001","sortHand",9
"1002","subplot",9
"1003","texreg",9
"1004","text3d",9
"1005","theme_gray",9
"1006","TukeyHSD",9
"1007","abbreviate",8
"1008","aceEditor",8
"1009","add_axis",8
"1010","addProviderTiles",8
"1011","age",8
"1012","anyDuplicated",8
"1013","anyNA",8
"1014","atan",8
"1015","autoplot",8
"1016","basicPage",8
"1017","bb",8
"1018","bind_shiny",8
"1019","biocLite",8
"1020","board",8
"1021","bookmarkButton",8
"1022","bootstrapPage",8
"1023","breakpoints",8
"1024","calc_entropy",8
"1025","cast",8
"1026","cat0",8
"1027","cat0a",8
"1028","ceiling_date",8
"1029","ChIPseekerEnv",8
"1030","chooseCol",8
"1031","chrnames",8
"1032","CIF",8
"1033","clean",8
"1034","clean_names",8
"1035","cloud",8
"1036","colsplit",8
"1037","combineScores",8
"1038","comparegeno",8
"1039","compileFunction",8
"1040","confusionMatrix",8
"1041","construction",8
"1042","controls",8
"1043","countXO",8
"1044","cpm",8
"1045","cran_downloads",8
"1046","crosstab",8
"1047","d3heatmap",8
"1048","Date2decimal",8
"1049","dbf",8
"1050","dgamma",8
"1051","dirs",8
"1052","discPower",8
"1053","docs",8
"1054","dygraph",8
"1055","dygraphOutput",8
"1056","edgelist",8
"1057","edit",8
"1058","enrichDisease",8
"1059","euler",8
"1060","fct_reorder",8
"1061","features",8
"1062","findOverlaps",8
"1063","first",8
"1064","fivenum",8
"1065","force_tz",8
"1066","full_join",8
"1067","gam",8
"1068","getCols",8
"1069","getForm",8
"1070","getGene",8
"1071","getPost",8
"1072","getRasterData",8
"1073","ggvis",8
"1074","ggvisOutput",8
"1075","glob2rx",8
"1076","googleAuthUI",8
"1077","graph",8
"1078","groupMeans",8
"1079","guide_colorbar",8
"1080","html",8
"1081","html_node",8
"1082","ICDSeq",8
"1083","image_crop",8
"1084","IP",8
"1085","jps",8
"1086","keytypes",8
"1087","Line",8
"1088","Lines",8
"1089","load_file",8
"1090","load_OrgDb",8
"1091","logloss",8
"1092","Matrix",8
"1093","metropolis",8
"1094","mgoSim",8
"1095","missingArg",8
"1096","months",8
"1097","movemarker",8
"1098","myround",8
"1099","normalize",8
"1100","nullmarkers",8
"1101","nzchar",8
"1102","optimize",8
"1103","outer",8
"1104","pchisq",8
"1105","plogis",8
"1106","plot3d",8
"1107","plotMap",8
"1108","plotMissing",8
"1109","position_dodge",8
"1110","pt",8
"1111","qr",8
"1112","quote",8
"1113","qvalue",8
"1114","ranges",8
"1115","read_tsv",8
"1116","reduce",8
"1117","regexec",8
"1118","reingold",8
"1119","reorderqtl",8
"1120","rep_len",8
"1121","restore",8
"1122","rma",8
"1123","rt",8
"1124","runApp",8
"1125","s",8
"1126","SavePlot",8
"1127","scale_color_hue",8
"1128","scale_fill_hue",8
"1129","searchFacebook",8
"1130","selectizeInput",8
"1131","sendCustomMessage",8
"1132","setnames",8
"1133","singleton",8
"1134","sparseMatrix",8
"1135","SpatialLines",8
"1136","spss",8
"1137","stack",8
"1138","stdout",8
"1139","str_to_lower",8
"1140","strand",8
"1141","string",8
"1142","Surv",8
"1143","t2xy",8
"1144","TERM2NAME",8
"1145","termSim",8
"1146","theme_map",8
"1147","theme_tree",8
"1148","tmap_mode",8
"1149","tvs",8
"1150","TXID2EG",8
"1151","unicode",8
"1152","updateTextInput",8
"1153","userDataToDF",8
"1154","valueBoxOutput",8
"1155","varImpPlot",8
"1156","Vectorize",8
"1157","Views",8
"1158","week",8
"1159","width",8
"1160","with_shiny",8
"1161","with_tz",8
"1162","within",8
"1163","xmlParse",8
"1164","2",7
"1165","addParams",7
"1166","adply",7
"1167","anti_join",7
"1168","approx",7
"1169","benchmark",7
"1170","dbeta",7
"1171","DocumentTermMatrix",7
"1172","dput",7
"1173","fetch",7
"1174","flatten_dbl",7
"1175","geom_ribbon",7
"1176","ggplotGrob",7
"1177","gh",7
"1178","gpclibPermit",7
"1179","hidden",7
"1180","hms",7
"1181","htmlOutput",7
"1182","index",7
"1183","link",7
"1184","multiplot",7
"1185","nest",7
"1186","on",7
"1187","plumb",7
"1188","POST",7
"1189","rasterImage",7
"1190","rbeta",7
"1191","render",7
"1192","rmvnorm",7
"1193","rPlot",7
"1194","setkey",7
"1195","str_count",7
"1196","stripchart",7
"1197","tbl",7
"1198","treedata",7
"1199","unnest_tokens",7
"1200","updateSelectInput",7
"1201","withProgress",7
"1202","`[`",6
"1203","access_token",6
"1204","add_annotations",6
"1205","addCircles",6
"1206","assigment_cnts",6
"1207","assigment_temp",6
"1208","assigment_vald",6
"1209","attribute",6
"1210","authDropdownUI",6
"1211","b",6
"1212","bab",6
"1213","betweenCov",6
"1214","betweenSS",6
"1215","bibliography",6
"1216","bplapply",6
"1217","by_row",6
"1218","CA",6
"1219","cab",6
"1220","calculate_angle",6
"1221","calculate_branch_mid",6
"1222","calls",6
"1223","celfileDate",6
"1224","change",6
"1225","chron",6
"1226","circle",6
"1227","clade",6
"1228","classify",6
"1229","clickOpts",6
"1230","cmpfun",6
"1231","color_scale",6
"1232","colorNumeric",6
"1233","compact",6
"1234","compareBids",6
"1235","cor2vec",6
"1236","createMultiFolds",6
"1237","createOAuthToken",6
"1238","createSQLFunction",6
"1239","csAnno",6
"1240","cutree",6
"1241","d3heatmapOutput",6
"1242","daily_downloads",6
"1243","DataFrame",6
"1244","Dataset",6
"1245","date_breaks",6
"1246","datetime_to_timestamp",6
"1247","deal",6
"1248","decimal2Date",6
"1249","default",6
"1250","desDA",6
"1251","design",6
"1252","dir_ls",6
"1253","dist2",6
"1254","dmap_if",6
"1255","dMerge",6
"1256","dmy_hms",6
"1257","dotchart",6
"1258","dotplot",6
"1259","draw_panel",6
"1260","ecdf",6
"1261","elimFall",6
"1262","empty",6
"1263","enc2utf8",6
"1264","enrichResult",6
"1265","error",6
"1266","estimateSizeFactors",6
"1267","exonsBy",6
"1268","expect_false",6
"1269","extent",6
"1270","extract_element",6
"1271","fdr_fun",6
"1272","file_delete",6
"1273","filterStream",6
"1274","findCard",6
"1275","findInterval",6
"1276","food_recognition",6
"1277","force",6
"1278","forceNetwork",6
"1279","forecast",6
"1280","formatC",6
"1281","formatTwDate",6
"1282","fsva",6
"1283","full_data",6
"1284","geneSim",6
"1285","geocode",6
"1286","geojson_write",6
"1287","geom_errorbarh",6
"1288","geom_label_repel",6
"1289","geom_quasirandom",6
"1290","geom_rug",6
"1291","geom_sina",6
"1292","geom_tree",6
"1293","get_GO_data",6
"1294","get_opts",6
"1295","get_rank",6
"1296","get_seqtype",6
"1297","getCPLConfigOption",6
"1298","getDb",6
"1299","getDriver",6
"1300","getFirstHitIndex",6
"1301","getFollowers",6
"1302","getgenonames",6
"1303","getGOLevel",6
"1304","getModelInfo",6
"1305","getNodes_by_postorder",6
"1306","getParent",6
"1307","getPointerToFunction",6
"1308","getProjectionRef",6
"1309","getProvInfo",6
"1310","getRversion",6
"1311","getSessionProvInfo",6
"1312","getStream",6
"1313","GetSummaryPlot",6
"1314","getTagCount",6
"1315","getYcoord",6
"1316","gfocus",6
"1317","ggplot_build",6
"1318","glmFit",6
"1319","glmLRT",6
"1320","graph_from_data_frame",6
"1321","gridparameters",6
"1322","group_by_",6
"1323","groupMedians",6
"1324","groupQuants",6
"1325","groupStds",6
"1326","groupVars",6
"1327","GSEA_internal",6
"1328","highchart",6
"1329","highchartOutput",6
"1330","home",6
"1331","html_print",6
"1332","html_table",6
"1333","hue_pal",6
"1334","identity",6
"1335","image_append",6
"1336","image_border",6
"1337","image_convert",6
"1338","image_info",6
"1339","image_scale",6
"1340","image_uri",6
"1341","imageOutput",6
"1342","includeHTML",6
"1343","includeText",6
"1344","inla",6
"1345","insert",6
"1346","interactive",6
"1347","interp",6
"1348","invlogit",6
"1349","jsonedit",6
"1350","jsoneditOutput",6
"1351","JSONtoDF",6
"1352","kNN",6
"1353","kReplace",6
"1354","krige",6
"1355","lars",6
"1356","lda",6
"1357","li",6
"1358","list_to_dataframe",6
"1359","loadPeak",6
"1360","loadTxDb",6
"1361","make_url",6
"1362","makeBids",6
"1363","map2",6
"1364","map2_chr",6
"1365","mappedkeys",6
"1366","mapvalues",6
"1367","margin",6
"1368","mcexact",6
"1369","mcmc_chain",6
"1370","mid",6
"1371","MortalityMatrix",6
"1372","mutate_",6
"1373","mutate_at",6
"1374","mutate_if",6
"1375","nan",6
"1376","navigate",6
"1377","nb",6
"1378","netplot",6
"1379","Nnode2",6
"1380","nofalljudge",6
"1381","ntim",6
"1382","obj",6
"1383","ogrListLayers",6
"1384","op",6
"1385","organismMapper",6
"1386","overjudge",6
"1387","packageStartupMessage",6
"1388","paml_rst",6
"1389","par3d",6
"1390","params",6
"1391","parse_date_time",6
"1392","parse_number",6
"1393","parseIR",6
"1394","parseQueryString",6
"1395","party",6
