"","biblioteka","czestosc","kategoria"
"354","checkmate",0,"A"
"355","ChemmineR",0,"A"
"356","chipenrich.data",0,"A"
"357","ChIPXpressData",0,"A"
"358","chromstaRData",0,"A"
"359","clst",0,"A"
"360","clusterCrit",0,"A"
"361","CNTools",0,"A"
"362","codetools",0,"A"
"363","COHCAPanno",0,"A"
"364","colortools",0,"A"
"365","colourpicker",0,"A"
"366","combinat",0,"A"
"367","compiler",0,"A"
"368","compositions",0,"A"
"369","CopyhelpeR",0,"A"
"370","corrgram",0,"A"
"371","cp4p",0,"A"
"372","CRISPRseek",0,"A"
"373","csaw",0,"A"
"374","cubature",0,"A"
"375","curl",0,"A"
"376","DAPARdata",0,"A"
"377","datasets",0,"A"
"378","dbplyr",0,"A"
"379","Delaporte",0,"A"
"380","dendextend",0,"A"
"381","derfinder",0,"A"
"382","derfinderHelper",0,"A"
"383","DescTools",0,"A"
"384","destiny",0,"A"
"385","diagram",0,"A"
"386","DiagrammeR(>=",0,"A"
"387","dichromat",0,"A"
"388","DiffBind",0,"A"
"389","DiffCorr",0,"A"
"390","diffr",0,"A"
"391","diptest",0,"A"
"392","DMRcatedata",0,"A"
"393","DO.db",0,"A"
"394","doBy",0,"A"
"395","doFuture",0,"A"
"396","DPpackage",0,"A"
"397","DSS",0,"A"
"398","earth",0,"A"
"399","EBarrays",0,"A"
"400","EBSeq",0,"A"
"401","ecp",0,"A"
"402","EDASeq",0,"A"
"403","emdbook",0,"A"
"404","expm",0,"A"
"405","faahKO",0,"A"
"406","factoextra",0,"A"
"407","FEM",0,"A"
"408","ffbase",0,"A"
"409","filehash",0,"A"
"410","flexmix",0,"A"
"411","flowDensity",0,"A"
"412","flowPeaks",0,"A"
"413","FlowSOM(>=",0,"A"
"414","flowUtils",0,"A"
"415","flowWorkspace",0,"A"
"416","foreign",0,"A"
"417","fpc",0,"A"
"418","frma",0,"A"
"419","FSelector",0,"A"
"420","future",0,"A"
"421","gaga",0,"A"
"422","gage",0,"A"
"423","gbm",0,"A"
"424","gdsfmt",0,"A"
"425","genalg",0,"A"
"426","genefu",0,"A"
"427","genomation",0,"A"
"428","GenomicScores",0,"A"
"429","GetoptLong",0,"A"
"430","ggcyto",0,"A"
"431","ggpmisc",0,"A"
"432","git2r",0,"A"
"433","GLAD",0,"A"
"434","GlobalOptions",0,"A"
"435","globaltest",0,"A"
"436","glue",0,"A"
"437","gmp",0,"A"
"438","googleAuthR",0,"A"
"439","gplots(>=",0,"A"
"440","gridSVG",0,"A"
"441","grImport",0,"A"
"442","GSA",0,"A"
"443","GSEAlm",0,"A"
"444","gsl",0,"A"
"445","GSVA",0,"A"
"446","GUIDEseq",0,"A"
"447","highcharter",0,"A"
"448","HilbertVis",0,"A"
"449","Homo.sapiens",0,"A"
"450","howmany",0,"A"
"451","HTSCluster",0,"A"
"452","HTSFilter",0,"A"
"453","hyperdraw",0,"A"
"454","iCluster",0,"A"
"455","ICSNP",0,"A"
"456","igraph(>=",0,"A"
"457","Illumina450ProbeVariants.db",0,"A"
"458","IlluminaHumanMethylation450kanno.ilmn12.hg19",0,"A"
"459","IlluminaHumanMethylation450kmanifest",0,"A"
"460","IlluminaHumanMethylationEPICanno.ilm10b2.hg19",0,"A"
"461","IlluminaHumanMethylationEPICmanifest",0,"A"
"462","imp4p",0,"A"
"463","import",0,"A"
"464","Imports",0,"A"
"465","impute(>=",0,"A"
"466","imputeLCMD",0,"A"
"467","ineq",0,"A"
"468","InteractionSet",0,"A"
"469","interactiveDisplayBase",0,"A"
"470","intergraph",0,"A"
"471","ipred",0,"A"
"472","IRanges(>=",0,"A"
"473","irlba",0,"A"
"474","kknn",0,"A"
"475","klaR",0,"A"
"476","kohonen",0,"A"
"477","ks",0,"A"
"478","LaplacesDemon",0,"A"
"479","LIM",0,"A"
"480","limma(>=",0,"A"
"481","lme4",0,"A"
"482","locfdr",0,"A"
"483","log4r",0,"A"
"484","logging",0,"A"
"485","lokern",0,"A"
"486","LSD",0,"A"
"487","lubridate",0,"A"
"488","made4",0,"A"
"489","makecdfenv",0,"A"
"490","markdown",0,"A"
"491","MassSpecWavelet",0,"A"
"492","matrixcalc",0,"A"
"493","matter",0,"A"
"494","MCMCpack",0,"A"
"495","mdqc",0,"A"
"496","memoise",0,"A"
"497","metaMA",0,"A"
"498","metap",0,"A"
"499","methylPipe",0,"A"
"500","methylumi",0,"A"
"501","Mfuzz",0,"A"
"502","minpack.lm",0,"A"
"503","missMethyl",0,"A"
"504","mixtools",0,"A"
"505","MLInterfaces",0,"A"
"506","mnormt",0,"A"
"507","modeest",0,"A"
"508","modes",0,"A"
"509","moments",0,"A"
"510","mpm",0,"A"
"511","multcomp",0,"A"
"512","MVCClass",0,"A"
"513","mvoutlier",0,"A"
"514","nabor",0,"A"
"515","NBPSeq",0,"A"
"516","ncdfFlow",0,"A"
"517","NCIgraph",0,"A"
"518","nem",0,"A"
"519","network",0,"A"
"520","nloptr",0,"A"
"521","nnet",0,"A"
"522","NOISeq",0,"A"
"523","oligoClasses(>=",0,"A"
"524","openCyto",0,"A"
"525","optparse",0,"A"
"526","org.Dm.eg.db",0,"A"
"527","org.Dr.eg.db",0,"A"
"528","org.Rn.eg.db",0,"A"
"529","org.Sc.sgd.db",0,"A"
"530","OrganismDbi",0,"A"
"531","origami",0,"A"
"532","outliers",0,"A"
"533","PADOG",0,"A"
"534","pamr",0,"A"
"535","parody",0,"A"
"536","party",0,"A"
"537","phenoTest",0,"A"
"538","phylobase",0,"A"
"539","picante",0,"A"
"540","plotly(>=",0,"A"
"541","pls",0,"A"
"542","plsVarSel",0,"A"
"543","plyr(>=",0,"A"
"544","png",0,"A"
"545","poibin",0,"A"
"546","PolynomF",0,"A"
"547","poweRlaw",0,"A"
"548","precrec",0,"A"
"549","preseqR",0,"A"
"550","princurve",0,"A"
"551","prodlim",0,"A"
"552","progress",0,"A"
"553","PROMISE",0,"A"
"554","ProtGenerics",0,"A"
"555","proxy",0,"A"
"556","ptw",0,"A"
"557","pvclust",0,"A"
"558","qpgraph",0,"A"
"559","QTLRel",0,"A"
"560","quantsmooth",0,"A"
"561","R.oo",0,"A"
"562","radiant.data",0,"A"
"563","rama",0,"A"
"564","RANN(>=",0,"A"
"565","raster",0,"A"
"566","rBiopaxParser",0,"A"
"567","RColorBrewer(>=",0,"A"
"568","RDAVIDWebService",0,"A"
"569","rdrop2",0,"A"
"570","ReactomePA",0,"A"
"571","regress",0,"A"
"572","ReorderCluster",0,"A"
"573","ReportingTools",0,"A"
"574","reticulate",0,"A"
"575","Rhdf5lib",0,"A"
"576","rjags",0,"A"
"577","Rlab",0,"A"
"578","rmeta",0,"A"
"579","Rmixmod",0,"A"
"580","rms",0,"A"
"581","rnaSeqMap",0,"A"
"582","robustbase",0,"A"
"583","ROC",0,"A"
"584","ROntoTools",0,"A"
"585","ropls",0,"A"
"586","rrcov",0,"A"
"587","rsbml",0,"A"
"588","RSNNS",0,"A"
"589","RSpectra",0,"A"
"590","rstan",0,"A"
"591","rstudioapi",0,"A"
"592","rtfbs",0,"A"
"593","rvcheck",0,"A"
"594","sampling",0,"A"
"595","SamSPECTRAL",0,"A"
"596","scran",0,"A"
"597","sendmailR",0,"A"
"598","seqplots",0,"A"
"599","setRNG",0,"A"
"600","settings",0,"A"
"601","sgeostat",0,"A"
"602","shinyBS",0,"A"
"603","shinyFiles",0,"A"
"604","shinythemes",0,"A"
"605","sigclust",0,"A"
"606","signal",0,"A"
"607","smoother",0,"A"
"608","smoothmest",0,"A"
"609","sna",0,"A"
"610","snapCGH",0,"A"
"611","SNFtool",0,"A"
"612","SNPchip",0,"A"
"613","soGGi",0,"A"
"614","som",0,"A"
"615","sp",0,"A"
"616","speedglm",0,"A"
"617","splitstackshape",0,"A"
"618","splots",0,"A"
"619","sqldf",0,"A"
"620","SQN",0,"A"
"621","SQUAREM",0,"A"
"622","squash",0,"A"
"623","STRINGdb",0,"A"
"624","SummarizedExperiment(>=",0,"A"
"625","superheat",0,"A"
"626","SuperLearner",0,"A"
"627","Sushi",0,"A"
"628","sva(>=",0,"A"
"629","svMisc",0,"A"
"630","systemPipeR",0,"A"
"631","tcltk2",0,"A"
"632","testthat",0,"A"
"633","TFBSTools",0,"A"
"634","tidyverse",0,"A"
"635","tilingArray",0,"A"
"636","timsac",0,"A"
"637","tmvnsim",0,"A"
"638","topicmodels",0,"A"
"639","trackViewer",0,"A"
"640","tree",0,"A"
"641","truncnorm",0,"A"
"642","tseries",0,"A"
"643","tsne",0,"A"
"644","TSP",0,"A"
"645","TxDb.Celegans.UCSC.ce6.ensGene",0,"A"
"646","TxDb.Dmelanogaster.UCSC.dm3.ensGene",0,"A"
"647","TxDb.Hsapiens.UCSC.hg18.knownGene",0,"A"
"648","TxDb.Mmusculus.UCSC.mm10.knownGene",0,"A"
"649","TxDb.Rnorvegicus.UCSC.rn4.ensGene",0,"A"
"650","UpSetR",0,"A"
"651","utils(>=",0,"A"
"652","V8",0,"A"
"653","varSelRF",0,"A"
"654","VennDiagram",0,"A"
"655","VIM",0,"A"
"656","viper(>=",0,"A"
"657","visNetwork",0,"A"
"658","waffle",0,"A"
"659","waveslim",0,"A"
"660","wavethresh",0,"A"
"661","wesanderson",0,"A"
"662","withr",0,"A"
"663","xgboost",0,"A"
"664","xlsx",0,"A"
"665","XML(>=",0,"A"
"666","ggplot2",0.0681244743,"B"
"667","dplyr",0.0475189235,"B"
"668","shiny",0.0399495374,"B"
"669","stringr",0.0277544155,"B"
"670","lubridate",0.0252312868,"B"
"671","scales",0.019764508,"B"
"672","plyr",0.0185029437,"B"
"673","readr",0.0147182506,"B"
"674","data.table",0.0142977292,"B"
"675","tidyr",0.0134566863,"B"
"676","tidyverse",0.0134566863,"B"
"677","reshape2",0.012195122,"B"
"678","caret",0.0105130362,"B"
"679","RColorBrewer",0.0105130362,"B"
"680","gridExtra",0.0100925147,"B"
"681","jsonlite",0.0096719933,"B"
"682","ggmap",0.0084104289,"B"
"683","magrittr",0.0084104289,"B"
"684","reshape",0.0084104289,"B"
"685","grid",0.0071488646,"B"
"686","httr",0.0071488646,"B"
"687","knitr",0.0071488646,"B"
"688","XML",0.0071488646,"B"
"689","purrr",0.0067283431,"B"
"690","rgdal",0.0067283431,"B"
"691","testthat",0.0067283431,"B"
"692","xgboost",0.0067283431,"B"
"693","xtable",0.0067283431,"B"
"694","maptools",0.0063078217,"B"
"695","leaflet",0.0058873003,"B"
"696","parallel",0.0058873003,"B"
"697","RCurl",0.0058873003,"B"
"698","shinydashboard",0.0058873003,"B"
"699","viridis",0.0058873003,"B"
"700","devtools",0.0054667788,"B"
"701","MASS",0.0054667788,"B"
"702","zoo",0.0054667788,"B"
"703","igraph",0.0050462574,"B"
"704","sp",0.0050462574,"B"
"705","broman",0.0046257359,"B"
"706","foreign",0.0046257359,"B"
"707","maps",0.0046257359,"B"
"708","rvest",0.0046257359,"B"
"709","animation",0.0042052145,"B"
"710","car",0.0042052145,"B"
"711","h2o",0.0042052145,"B"
"712","qtl",0.0042052145,"B"
"713","randomForest",0.0042052145,"B"
"714","directlabels",0.003784693,"B"
"715","DT",0.003784693,"B"
"716","Matrix",0.003784693,"B"
"717","readxl",0.003784693,"B"
"718","RMySQL",0.003784693,"B"
"719","countrycode",0.0033641716,"B"
"720","markdown",0.0033641716,"B"
"721","rpart",0.0033641716,"B"
"722","RSQLite",0.0033641716,"B"
"723","datasets",0.0029436501,"B"
"724","DESeq2",0.0029436501,"B"
"725","digest",0.0029436501,"B"
"726","extrafont",0.0029436501,"B"
"727","gdata",0.0029436501,"B"
"728","ggrepel",0.0029436501,"B"
"729","Hmisc",0.0029436501,"B"
"730","qtl2",0.0029436501,"B"
"731","raster",0.0029436501,"B"
"732","rio",0.0029436501,"B"
"733","RJSONIO",0.0029436501,"B"
"734","ROCR",0.0029436501,"B"
"735","shinyjs",0.0029436501,"B"
"736","tmap",0.0029436501,"B"
"737","arm",0.0025231287,"B"
"738","Cairo",0.0025231287,"B"
"739","DataCombine",0.0025231287,"B"
"740","gganimate",0.0025231287,"B"
"741","plotly",0.0025231287,"B"
"742","rgeos",0.0025231287,"B"
"743","ROAuth",0.0025231287,"B"
"744","sf",0.0025231287,"B"
"745","tools",0.0025231287,"B"
"746","xts",0.0025231287,"B"
"747","compiler",0.0021026072,"B"
"748","doMC",0.0021026072,"B"
"749","dygraphs",0.0021026072,"B"
"750","edgeR",0.0021026072,"B"
"751","forecast",0.0021026072,"B"
"752","geosphere",0.0021026072,"B"
"753","glmnet",0.0021026072,"B"
"754","lattice",0.0021026072,"B"
"755","lineup",0.0021026072,"B"
"756","methods",0.0021026072,"B"
"757","RSelenium",0.0021026072,"B"
"758","rstan",0.0021026072,"B"
"759","rtweet",0.0021026072,"B"
"760","shinyAce",0.0021026072,"B"
"761","shinythemes",0.0021026072,"B"
"762","splines",0.0021026072,"B"
"763","survival",0.0021026072,"B"
"764","tm",0.0021026072,"B"
"765","yaml",0.0021026072,"B"
"766","babynames",0.0016820858,"B"
"767","Biobase",0.0016820858,"B"
"768","broom",0.0016820858,"B"
"769","caTools",0.0016820858,"B"
"770","d3heatmap",0.0016820858,"B"
"771","e1071",0.0016820858,"B"
"772","fs",0.0016820858,"B"
"773","GenomicRanges",0.0016820858,"B"
"774","googleAuthR",0.0016820858,"B"
"775","googlesheets",0.0016820858,"B"
"776","googleVis",0.0016820858,"B"
"777","gplots",0.0016820858,"B"
"778","highcharter",0.0016820858,"B"
"779","janitor",0.0016820858,"B"
"780","jpeg",0.0016820858,"B"
"781","kernlab",0.0016820858,"B"
"782","limma",0.0016820858,"B"
"783","multicore",0.0016820858,"B"
"784","mvtnorm",0.0016820858,"B"
"785","partykit",0.0016820858,"B"
"786","png",0.0016820858,"B"
"787","pROC",0.0016820858,"B"
"788","ProjectTemplate",0.0016820858,"B"
"789","psData",0.0016820858,"B"
"790","rbenchmark",0.0016820858,"B"
"791","rCharts",0.0016820858,"B"
"792","repmis",0.0016820858,"B"
"793","rgl",0.0016820858,"B"
"794","ropenaq",0.0016820858,"B"
"795","rpart.plot",0.0016820858,"B"
"796","RPostgreSQL",0.0016820858,"B"
"797","stats",0.0016820858,"B"
"798","stringi",0.0016820858,"B"
"799","tibble",0.0016820858,"B"
"800","WDI",0.0016820858,"B"
"801","AppliedPredictiveModeling",0.0012615643,"B"
"802","Biostrings",0.0012615643,"B"
"803","classInt",0.0012615643,"B"
"804","coda",0.0012615643,"B"
"805","cranlogs",0.0012615643,"B"
"806","DESeq",0.0012615643,"B"
"807","gbm",0.0012615643,"B"
"808","genefilter",0.0012615643,"B"
"809","GEOquery",0.0012615643,"B"
"810","ggvis",0.0012615643,"B"
"811","GO.db",0.0012615643,"B"
"812","googleAnalyticsR",0.0012615643,"B"
"813","here",0.0012615643,"B"
"814","hrbrthemes",0.0012615643,"B"
"815","lightgbm",0.0012615643,"B"
"816","magick",0.0012615643,"B"
"817","microbenchmark",0.0012615643,"B"
"818","monkeylearn",0.0012615643,"B"
"819","networkD3",0.0012615643,"B"
"820","nlme",0.0012615643,"B"
"821","party",0.0012615643,"B"
"822","plotrix",0.0012615643,"B"
"823","plumber",0.0012615643,"B"
"824","pscl",0.0012615643,"B"
"825","quantmod",0.0012615643,"B"
"826","Rfacebook",0.0012615643,"B"
"827","RWeka",0.0012615643,"B"
"828","shinyBS",0.0012615643,"B"
"829","spatstat",0.0012615643,"B"
"830","streamR",0.0012615643,"B"
"831","stringdist",0.0012615643,"B"
"832","tidytext",0.0012615643,"B"
"833","tseries",0.0012615643,"B"
"834","VIM",0.0012615643,"B"
"835","wordcloud",0.0012615643,"B"
"836","affy",0.0008410429,"B"
"837","Amelia",0.0008410429,"B"
"838","analogsea",0.0008410429,"B"
"839","AnalyzeFMRI",0.0008410429,"B"
"840","AnomalyDetection",0.0008410429,"B"
"841","ape",0.0008410429,"B"
"842","ascii",0.0008410429,"B"
"843","bigQueryR",0.0008410429,"B"
"844","bigvis",0.0008410429,"B"
"845","BiocParallel",0.0008410429,"B"
"846","bit",0.0008410429,"B"
"847","C50",0.0008410429,"B"
"848","chron",0.0008410429,"B"
"849","circlize",0.0008410429,"B"
"850","cluster",0.0008410429,"B"
