"","Author","Repo","Packages"
"344","dgrtwo","providence-viewer","rjson"
"345","dgrtwo","serial-ggvis","dplyr"
"346","dgrtwo","serial-ggvis","ggvis"
"347","dgrtwo","serial-ggvis","shiny"
"348","dgrtwo","so-trends","shiny"
"349","dgrtwo","so-trends","stringr"
"350","dgrtwo","so-trends","dplyr"
"351","dgrtwo","so-trends","ggvis"
"352","dgrtwo","so-trends","urltools"
"353","dgrtwo","so-trends","readr"
"354","dgrtwo","so-trends","lubridate"
"355","dgrtwo","StackLite","sqlstackr"
"356","dgrtwo","StackLite","dplyr"
"357","dgrtwo","StackLite","yaml"
"358","dgrtwo","StackLite","tidyr"
"359","dgrtwo","StackLite","stringr"
"360","dgrtwo","StackLite","lubridate"
"361","dgrtwo","StackLite","readr"
"362","dgrtwo","StackLite","knitr"
"363","diegovalle","Age-Cohort-Violence","ggplot2"
"364","diegovalle","Age-Cohort-Violence","stringr"
"365","diegovalle","Age-Cohort-Violence","gdata"
"366","diegovalle","Age-Cohort-Violence","tseries"
"367","diegovalle","Age-Cohort-Violence","Hmisc"
"368","diegovalle","Age-Cohort-Violence","dispmod"
"369","diegovalle","Age-Cohort-Violence","arm"
"370","diegovalle","Age-Cohort-Violence","Cairo"
"371","diegovalle","Age-Cohort-Violence","nlme"
"372","diegovalle","Age-Cohort-Violence","AER"
"373","diegovalle","age-period-cohort","ggplot2"
"374","diegovalle","age-period-cohort","stringr"
"375","diegovalle","age-period-cohort","car"
"376","diegovalle","age-period-cohort","Hmisc"
"377","diegovalle","age-period-cohort","Cairo"
"378","diegovalle","age-period-cohort","plyr"
"379","diegovalle","age-period-cohort","reshape"
"380","diegovalle","age-period-cohort","doMC"
"381","diegovalle","age-period-cohort","directlabels"
"382","diegovalle","age-period-cohort","zoo"
"383","diegovalle","age-period-cohort","Epi"
"384","diegovalle","Assault-Weapons","'reshape'"
"385","diegovalle","Assault-Weapons","'plyr'"
"386","diegovalle","Assault-Weapons","'stringr'"
"387","diegovalle","Assault-Weapons","'ggplot2'"
"388","diegovalle","Assault-Weapons","'testthat'"
"389","diegovalle","Assault-Weapons","ggplot2"
"390","diegovalle","Assault-Weapons","strucchange"
"391","diegovalle","Assault-Weapons","Cairo"
"392","diegovalle","Assault-Weapons","tseries"
"393","diegovalle","Assault-Weapons","lmtest"
"394","diegovalle","Assault-Weapons","sandwich"
"395","diegovalle","Assault-Weapons","pscl"
"396","diegovalle","Assault-Weapons","arm"
"397","diegovalle","Assault-Weapons","'ProjectTemplate'"
"398","diegovalle","caste-war","""reshape"""
"399","diegovalle","caste-war","""jsonlite"""
"400","diegovalle","caste-war","""RCurl"""
"401","diegovalle","caste-war","""httr"""
"402","diegovalle","caste-war","""stringr"""
"403","diegovalle","caste-war","""rvest"""
"404","diegovalle","caste-war","""XML"""
"405","diegovalle","caste-war","""RSQLite"""
"406","diegovalle","caste-war","""gdata"""
"407","diegovalle","caste-war","""ggplot2"""
"408","diegovalle","caste-war","""scales"""
"409","diegovalle","caste-war","""magrittr"""
"410","diegovalle","caste-war","""igraph"""
"411","diegovalle","caste-war","""biglm"""
"412","diegovalle","caste-war","""ff"""
"413","diegovalle","caste-war","""lubridate"""
"414","diegovalle","caste-war","""rgdal"""
"415","diegovalle","caste-war","""rgeos"""
"416","diegovalle","caste-war","""raster"""
"417","diegovalle","caste-war","""tidyr"""
"418","diegovalle","caste-war","""data.table"""
"419","diegovalle","caste-war","""bigvis"""
"420","diegovalle","caste-war","""visreg"""
"421","diegovalle","caste-war","""ggtern"""
"422","diegovalle","caste-war","""stringdist"""
"423","diegovalle","caste-war","""knitr"""
"424","diegovalle","caste-war","""dplyr"""
"425","diegovalle","central-america","directlabels"
"426","diegovalle","central-america","RColorBrewer"
"427","diegovalle","central-america","lubridate"
"428","diegovalle","central-america","ggplot2"
"429","diegovalle","central-america","stringr"
"430","diegovalle","central-america","scales"
"431","diegovalle","central-america","reshape2"
"432","diegovalle","central-america","plyr"
"433","diegovalle","central-america","reshape"
"434","diegovalle","central-america","maptools"
"435","diegovalle","central-america","rgdal"
"436","diegovalle","central-america","geosphere"
"437","diegovalle","central-america","raster"
"438","diegovalle","comipems","ggplot2"
"439","diegovalle","comipems","stringr"
"440","diegovalle","comipems","car"
"441","diegovalle","comipems","arm"
"442","diegovalle","comipems","plyr"
"443","diegovalle","comipems","reshape"
"444","diegovalle","comipems","ggmap"
"445","diegovalle","comipems","DirichletReg"
"446","diegovalle","comipems","rCharts"
"447","diegovalle","comipems","testthat"
"448","diegovalle","comipems","scales"
"449","diegovalle","comipems","gridExtra"
"450","diegovalle","comipems","RColorBrewer"
"451","diegovalle","death.index","stringr"
"452","diegovalle","death.index","plyr"
"453","diegovalle","death.index","utils"
"454","diegovalle","death.index","foreign"
"455","diegovalle","death.index","'testthat'"
"456","diegovalle","death.index","'yaml'"
"457","diegovalle","death.index","'foreign'"
"458","diegovalle","death.index","'reshape'"
"459","diegovalle","death.index","'plyr'"
"460","diegovalle","death.index","'stringr'"
"461","diegovalle","death.index","'ggplot2'"
"462","diegovalle","death.index","scales"
"463","diegovalle","death.index","ggplot2"
"464","diegovalle","death.index","maptools"
"465","diegovalle","death.index","directlabels"
"466","diegovalle","death.index","fields"
"467","diegovalle","death.index","car"
"468","diegovalle","death.index","Cairo"
"469","diegovalle","death.index","xtable"
"470","diegovalle","death.index","RColorBrewer"
"471","diegovalle","death.index","shape"
"472","diegovalle","death.index","Hmisc"
"473","diegovalle","death.index","zoo"
"474","diegovalle","death.index","akima"
"475","diegovalle","death.index","lubridate"
"476","diegovalle","death.index","pscl"
"477","diegovalle","death.index","rgdal"
"478","diegovalle","death.index","maps"
"479","diegovalle","death.index","mapdata"
"480","diegovalle","death.index","mapproj"
"481","diegovalle","death.index","MASS"
"482","diegovalle","death.index","spatstat"
"483","diegovalle","death.index","compiler"
"484","diegovalle","death.index","rbenchmark"
"485","diegovalle","death.index","geosphere"
"486","diegovalle","death.index","RSQLite"
"487","diegovalle","death.index","xts"
"488","diegovalle","death.index","caret"
"489","diegovalle","death.index","VIM"
"490","diegovalle","death.index","tools"
"491","diegovalle","death.index","data.table"
"492","diegovalle","download-maps12","data.table"
"493","diegovalle","download-maps12","rgdal"
"494","diegovalle","download-maps12","maptools"
"495","diegovalle","download-maps12","stringr"
"496","diegovalle","download-maps12","doBy"
"497","diegovalle","download-maps12","testthat"
"498","diegovalle","drug-war-data","data.table"
"499","diegovalle","drug-war-data","mxmortalitydb"
"500","diegovalle","drug-war-data","stringr"
"501","diegovalle","drug-war-data","lubridate"
"502","diegovalle","drug-war-data","plyr"
"503","diegovalle","drug-war-data","testthat"
"504","diegovalle","drug-war-data","zoo"
"505","diegovalle","drug-war-data","jsonlite"
"506","diegovalle","elections2015","""ggplot2"""
"507","diegovalle","elections2015","""dplyr"""
"508","diegovalle","elections2015","""readr"""
"509","diegovalle","elections2015","""rgeos"""
"510","diegovalle","elections2015","""rgdal"""
"511","diegovalle","elections2015","""scales"""
"512","diegovalle","elections2015","""downloader"""
"513","diegovalle","elections2015","""stringr"""
"514","diegovalle","elections2015","""tidyr"""
"515","diegovalle","elections2015","""maptools"""
"516","diegovalle","elections2015","""gridExtra"""
"517","diegovalle","enigh","stringr"
"518","diegovalle","enigh","ggplot2"
"519","diegovalle","enigh","scales"
"520","diegovalle","enigh","foreign"
"521","diegovalle","enigh","ineq"
"522","diegovalle","enigh","gtools"
"523","diegovalle","enigh","survey"
"524","diegovalle","enigh","bigvis"
"525","diegovalle","Express-Divorce","lubridate"
"526","diegovalle","Express-Divorce","ggplot2"
"527","diegovalle","Express-Divorce","plyr"
"528","diegovalle","Express-Divorce","reshape"
"529","diegovalle","Express-Divorce","stringr"
"530","diegovalle","Express-Divorce","forecast"
"531","diegovalle","Express-Divorce","mgcv"
"532","diegovalle","Express-Divorce","MASS"
"533","diegovalle","Express-Divorce","strucchange"
"534","diegovalle","Express-Divorce","MCMCpack"
"535","diegovalle","Express-Divorce","bcp"
"536","diegovalle","Express-Divorce","directlabels"
"537","diegovalle","Express-Divorce","scales"
"538","diegovalle","Express-Divorce","reshape2"
"539","diegovalle","Express-Divorce","nlme"
"540","diegovalle","Express-Divorce","splines"
"541","diegovalle","Express-Divorce","quantmod"
"542","diegovalle","Express-Divorce","grDevices"
"543","diegovalle","Express-Divorce","xtable"
"544","diegovalle","Express-Divorce","rgdal"
"545","diegovalle","Express-Divorce","maptools"
"546","diegovalle","Express-Divorce","gridExtra"
"547","diegovalle","Express-Divorce","bfast"
"548","diegovalle","historical-homicides","compiler"
"549","diegovalle","historical-homicides","ggplot2"
"550","diegovalle","historical-homicides","stringr"
"551","diegovalle","historical-homicides","gdata"
"552","diegovalle","historical-homicides","classInt"
"553","diegovalle","historical-homicides","car"
"554","diegovalle","historical-homicides","Hmisc"
"555","diegovalle","historical-homicides","geosphere"
"556","diegovalle","historical-homicides","Cairo"
"557","diegovalle","historical-homicides","plyr"
"558","diegovalle","historical-homicides","reshape"
"559","diegovalle","historical-homicides","rgdal"
"560","diegovalle","historical-homicides","maptools"
"561","diegovalle","historical-homicides","memoise"
"562","diegovalle","historical-homicides","data.table"
"563","diegovalle","historical-homicides","doMC"
"564","diegovalle","historical-homicides","directlabels"
"565","diegovalle","hoyodecrimen.clean","RCurl"
"566","diegovalle","hoyodecrimen.clean","jsonlite"
"567","diegovalle","hoyodecrimen.clean","rgdal"
"568","diegovalle","hoyodecrimen.clean","ggplot2"
"569","diegovalle","hoyodecrimen.clean","ggmap"
"570","diegovalle","hoyodecrimen.clean","gdata"
"571","diegovalle","hoyodecrimen.clean","zoo"
"572","diegovalle","hoyodecrimen.clean","testthat"
"573","diegovalle","hoyodecrimen.clean","reshape2"
"574","diegovalle","hoyodecrimen.clean","maptools"
"575","diegovalle","hoyodecrimen.clean","lubridate"
"576","diegovalle","hoyodecrimen.clean","stringr"
"577","diegovalle","hoyodecrimen.clean","plyr"
"578","diegovalle","hoyodecrimen.clean","foreign"
"579","diegovalle","hoyodecrimen.clean","reshape"
"580","diegovalle","hoyodecrimen.clean","xtable"
"581","diegovalle","hoyodecrimen.clean","dplyr"
"582","diegovalle","hoyodecrimen.clean","readxl"
"583","diegovalle","hoyodecrimen.clean","tidyr"
"584","diegovalle","hoyodecrimen.clean","rgeos"
"585","diegovalle","Juarez-Classifier","caret"
"586","diegovalle","Juarez-Classifier","VIM"
"587","diegovalle","Juarez-Classifier","ggplot2"
"588","diegovalle","Juarez-Classifier","plyr"
"589","diegovalle","Juarez-Classifier","multicore"
"590","diegovalle","Juarez-Classifier","doMC"
"591","diegovalle","Juarez-Classifier","stringr"
"592","diegovalle","Juarez-Classifier","lubridate"
"593","diegovalle","Juarez-Classifier","scales"
"594","diegovalle","Juarez-Classifier","xtable"
"595","diegovalle","Juarez-Classifier","testthat"
"596","diegovalle","Juarez-Classifier","kernlab"
"597","diegovalle","Juarez-Classifier","randomForest"
"598","diegovalle","Juarez-Classifier","Matrix"
"599","diegovalle","police-homicides","'testthat'"
"600","diegovalle","police-homicides","'yaml'"
"601","diegovalle","police-homicides","'foreign'"
"602","diegovalle","police-homicides","'ggplot2'"
"603","diegovalle","police-homicides","'stringr'"
"604","diegovalle","police-homicides","'tseries'"
"605","diegovalle","police-homicides","'gtools'"
"606","diegovalle","police-homicides","'ascii'"
"607","diegovalle","police-homicides","'ProjectTemplate'"
"608","diegovalle","rnped","""jsonlite"""
"609","diegovalle","rnped","""dplyr"""
"610","diegovalle","rnped","""magrittr"""
"611","diegovalle","rnped","""stringr"""
"612","diegovalle","rnped","""zoo"""
