"","ile","czestosc"
"trunc",9,0.02
"weighted.mean",9,0.02
"annotation",8,0.02
"complete.cases",8,0.02
"dir",8,0.02
"double",8,0.02
"element_blank",8,0.02
"environment",8,0.02
"fisher.test",8,0.02
"fitted",8,0.02
"formals",8,0.02
"geom_text",8,0.02
"gray",8,0.02
"ks.test",8,0.02
"library.dynam",8,0.02
"lmFit",8,0.02
"nodes",8,0.02
"normalizePath",8,0.02
"palette",8,0.02
"pretty",8,0.02
"prototype",8,0.02
"relist",8,0.02
"renderPlot",8,0.02
"reorder",8,0.02
"resize",8,0.02
"rowVars",8,0.02
"search",8,0.02
"sin",8,0.02
"sparseMatrix",8,0.02
"strwidth",8,0.02
"subseq",8,0.02
"textConnection",8,0.02
"textInput",8,0.02
"toJSON",8,0.02
"trimws",8,0.02
"useMart",8,0.02
"wilcox.test",8,0.02
"arrows",7,0.02
"as.dendrogram",7,0.02
"colorRamp",7,0.02
"DNAStringSet",7,0.02
"ecdf",7,0.02
"elementMetadata",7,0.02
"facet_wrap",7,0.02
"file.copy",7,0.02
"geom_boxplot",7,0.02
"grid.arrange",7,0.02
"grid.draw",7,0.02
"guide_legend",7,0.02
"makeCluster",7,0.02
"notes",7,0.02
"pf",7,0.02
"plot.window",7,0.02
"plotOutput",7,0.02
"proc.time",7,0.02
"qchisq",7,0.02
"readDNAStringSet",7,0.02
"readline",7,0.02
"row",7,0.02
"rowMedians",7,0.02
"rpois",7,0.02
"runLength",7,0.02
"seq.int",7,0.02
"sidebarPanel",7,0.02
"sink",7,0.02
"sliderInput",7,0.02
"Sys.sleep",7,0.02
"tabulate",7,0.02
"terms",7,0.02
"topTable",7,0.02
"UseMethod",7,0.02
"varMetadata",7,0.02
"write.csv",7,0.02
"writeBin",7,0.02
"ylim",7,0.02
".Deprecated",6,0.02
"assay",6,0.02
"bind_rows",6,0.02
"chromosome",6,0.02
"col",6,0.02
"cos",6,0.02
"counts",6,0.02
"dev.cur",6,0.02
"dev.interactive",6,0.02
"dirname",6,0.02
"eigen",6,0.02
"elementNROWS",6,0.02
"fData",6,0.02
"file.info",6,0.02
"flush.console",6,0.02
"formula",6,0.02
"fromJSON",6,0.02
"getURL",6,0.02
"grid.newpage",6,0.02
"grid.text",6,0.02
"heatmap.2",6,0.02
"is.nan",6,0.02
"noquote",6,0.02
"observeEvent",6,0.02
"open",6,0.02
"path.expand",6,0.02
"phyper",6,0.02
"pnbinom",6,0.02
"popViewport",6,0.02
"ppois",6,0.02
"reactive",6,0.02
"readRDS",6,0.02
"registerDoParallel",6,0.02
"renderUI",6,0.02
"rnbinom",6,0.02
"rowData",6,0.02
"rug",6,0.02
"runApp",6,0.02
"saveRDS",6,0.02
"scale_fill_gradient",6,0.02
"scale_fill_gradientn",6,0.02
"scanBam",6,0.02
"scanBamHeader",6,0.02
"score",6,0.02
"segment",6,0.02
"Seqinfo",6,0.02
"seqlevelsStyle",6,0.02
"SerialParam",6,0.02
"set",6,0.02
"shinyApp",6,0.02
"smoothScatter",6,0.02
"stat_summary",6,0.02
"str",6,0.02
"summarise",6,0.02
"sys.call",6,0.02
"tabPanel",6,0.02
"testPackage",6,0.02
"textGrob",6,0.02
"uiOutput",6,0.02
"xyplot",6,0.02
"arrange",5,0.01
"assays",5,0.01
"attributes",5,0.01
"bplapply",5,0.01
"conditionalPanel",5,0.01
"content",5,0.01
"coord_flip",5,0.01
"count",5,0.01
"curve",5,0.01
"dbGetQuery",5,0.01
"dbinom",5,0.01
"degree",5,0.01
"dir.exists",5,0.01
"dnbinom",5,0.01
"eBayes",5,0.01
"expression",5,0.01
"file.rename",5,0.01
"fun",5,0.01
"geom_histogram",5,0.01
"geom_hline",5,0.01
"getSeq",5,0.01
"ggsave",5,0.01
"graph.adjacency",5,0.01
"graph.data.frame",5,0.01
"grid.layout",5,0.01
"HTML",5,0.01
"import",5,0.01
"installed.packages",5,0.01
"isGeneric",5,0.01
"isTRUEorFALSE",5,0.01
"keys",5,0.01
"ldply",5,0.01
"left_join",5,0.01
"local",5,0.01
"make.names",5,0.01
"makeGRangesFromDataFrame",5,0.01
"Map",5,0.01
"mt.rawp2adjp",5,0.01
"n",5,0.01
"NCOL",5,0.01
"NROW",5,0.01
"plotTracks",5,0.01
"pm",5,0.01
"poly",5,0.01
"promoters",5,0.01
"protocolData",5,0.01
"qplot",5,0.01
"regmatches",5,0.01
"renderDataTable",5,0.01
"rle",5,0.01
"rowsum",5,0.01
"scale_y_discrete",5,0.01
"screen",5,0.01
"setnames",5,0.01
"SimpleList",5,0.01
"source",5,0.01
"splinefun",5,0.01
"split.screen",5,0.01
"SQLite",5,0.01
"stack",5,0.01
"stopApp",5,0.01
"storage.mode",5,0.01
"storageMode",5,0.01
"str_replace_all",5,0.01
"system.time",5,0.01
"tabsetPanel",5,0.01
"threeUTRsByTranscript",5,0.01
"titlePanel",5,0.01
"updateObject",5,0.01
"upViewport",5,0.01
"url",5,0.01
"value",5,0.01
"warnings",5,0.01
"wmsg",5,0.01
"writeXStringSet",5,0.01
"xlim",5,0.01
"xmlTreeParse",5,0.01
"axTicks",4,0.01
"bitmap",4,0.01
"close.screen",4,0.01
"clusters",4,0.01
"cmdscale",4,0.01
"CNA",4,0.01
"column",4,0.01
"conditionMessage",4,0.01
"contrasts.fit",4,0.01
"cor.test",4,0.01
"countOverlaps",4,0.01
"data.matrix",4,0.01
"dev.size",4,0.01
"dpois",4,0.01
"E",4,0.01
"element_rect",4,0.01
"exonsBy",4,0.01
"experimentData",4,0.01
"ExpressionSet",4,0.01
"fileInput",4,0.01
"find.package",4,0.01
"fluidPage",4,0.01
"fread",4,0.01
"geneIds",4,0.01
"geom_rect",4,0.01
"geom_segment",4,0.01
"geom_tile",4,0.01
"geom_vline",4,0.01
"getbdry",4,0.01
"getData",4,0.01
"granges",4,0.01
"gregexpr",4,0.01
"grid.lines",4,0.01
"grid.points",4,0.01
"grid.rect",4,0.01
"hash",4,0.01
"indexBam",4,0.01
"indexFinder",4,0.01
"install.packages",4,0.01
"is.leaf",4,0.01
"keepSeqlevels",4,0.01
"kronecker",4,0.01
"last",4,0.01
"locfit",4,0.01
"lowess",4,0.01
"lp",4,0.01
"mainPanel",4,0.01
"makeContrasts",4,0.01
"Mbox",4,0.01
"method",4,0.01
"MulticoreParam",4,0.01
"multiplot",4,0.01
"nargs",4,0.01
"Negate",4,0.01
"normalize",4,0.01
"nzchar",4,0.01
"observe",4,0.01
"optimize",4,0.01
"overlapsAny",4,0.01
"panel.text",4,0.01
"pbeta",4,0.01
"pbinom",4,0.01
"percent.present",4,0.01
"pgamma",4,0.01
"pie",4,0.01
"plotAffyRNAdeg",4,0.01
"postForm",4,0.01
"qc",4,0.01
"qqnorm",4,0.01
"qvalue",4,0.01
"ratios",4,0.01
"reactiveValues",4,0.01
"reg.finalizer",4,0.01
"renameSeqlevels",4,0.01
"renderText",4,0.01
"replace",4,0.01
"results",4,0.01
"reverseComplement",4,0.01
"rowSds",4,0.01
"runmed",4,0.01
"saveXML",4,0.01
"scale_color_brewer",4,0.01
"seqlevelsInUse",4,0.01
"setDT",4,0.01
"setkey",4,0.01
"setRefClass",4,0.01
"sfs",4,0.01
"shQuote",4,0.01
"simpleError",4,0.01
"simplify",4,0.01
"simplify2array",4,0.01
"sinh",4,0.01
"sizeFactors",4,0.01
"slice",4,0.01
"smooth.CNA",4,0.01
"sort.int",4,0.01
"sortSeqlevels",4,0.01
"str_detect",4,0.01
"str_replace",4,0.01
"strheight",4,0.01
"subGraph",4,0.01
"summarize",4,0.01
"symbols",4,0.01
"Sys.Date",4,0.01
"sys.parent",4,0.01
"tcrossprod",4,0.01
"textOutput",4,0.01
"theme_classic",4,0.01
"theme_minimal",4,0.01
"theme_set",4,0.01
"tkgrid",4,0.01
"tkinsert",4,0.01
"tklabel",4,0.01
"tklistbox",4,0.01
"tkscrollbar",4,0.01
"tkset",4,0.01
"tktoplevel",4,0.01
"tkwm.title",4,0.01
"tkyview",4,0.01
"topenv",4,0.01
"toTable",4,0.01
"trim",4,0.01
"ungroup",4,0.01
"uniroot",4,0.01
"unit.c",4,0.01
"unit.pmax",4,0.01
"unzip",4,0.01
"update",4,0.01
"updateTextInput",4,0.01
"voom",4,0.01
"wellPanel",4,0.01
"window",4,0.01
"xmlName",4,0.01
"xor",4,0.01
"xtable",4,0.01
"xy2indices",4,0.01
".Defunct",3,0.01
"actionButton",3,0.01
"alphabetFrequency",3,0.01
"annotate",3,0.01
"approxfun",3,0.01
"as.hclust",3,0.01
"as.name",3,0.01
"assayDataElement",3,0.01
"available.packages",3,0.01
"binomial",3,0.01
"body",3,0.01
"br",3,0.01
"callGeneric",3,0.01
"cbind.data.frame",3,0.01
"cdsBy",3,0.01
"chisq.test",3,0.01
"choose",3,0.01
"clusterExport",3,0.01
"coefficients",3,0.01
"collapse",3,0.01
"contour",3,0.01
"copynumber",3,0.01
"crossprod",3,0.01
"data.table",3,0.01
"dbconn",3,0.01
"dbConnect",3,0.01
"dbDisconnect",3,0.01
"dbListTables",3,0.01
"dbWriteTable",3,0.01
"dcast",3,0.01
"desc",3,0.01
"design",3,0.01
"dev.hold",3,0.01
"distfun",3,0.01
"div",3,0.01
"DNAString",3,0.01
"downloadButton",3,0.01
"dt",3,0.01
"element_line",3,0.01
"endoapply",3,0.01
"estimateSizeFactors",3,0.01
"exons",3,0.01
"facet_grid",3,0.01
"ff",3,0.01
"findInterval",3,0.01
"first",3,0.01
"fluidRow",3,0.01
"frame",3,0.01
"FUN",3,0.01
"func",3,0.01
"gather",3,0.01
"geneNames",3,0.01
"genes",3,0.01
"GenomeAxisTrack",3,0.01
"geom_abline",3,0.01
"geom_jitter",3,0.01
"geom_polygon",3,0.01
"GET",3,0.01
"get.edgelist",3,0.01
"get_showHeadLines",3,0.01
"get_showTailLines",3,0.01
"getClass",3,0.01
"getRversion",3,0.01
"ggplot_build",3,0.01
"ggplot_gtable",3,0.01
"ginv",3,0.01
"glmLRT",3,0.01
"graph.edgelist",3,0.01
"graph.intersection",3,0.01
"graphics.off",3,0.01
"grey",3,0.01
"grid.yaxis",3,0.01
"grobWidth",3,0.01
"groups",3,0.01
"hcl",3,0.01
"hclustfun",3,0.01
"heatmap",3,0.01
"Heatmap",3,0.01
"HeatmapAnnotation",3,0.01
"hr",3,0.01
"icon",3,0.01
"id",3,0.01
"IdeogramTrack",3,0.01
"import.bed",3,0.01
"initialize",3,0.01
"intensity",3,0.01
"intronsByTranscript",3,0.01
"IQR",3,0.01
"IRangesList",3,0.01
"is.atomic",3,0.01
"is.environment",3,0.01
"is.igraph",3,0.01
"is.unsorted",3,0.01
"isolate",3,0.01
"isPackageLoaded",3,0.01
"kable",3,0.01
"ldPath",3,0.01
"listLen",3,0.01
"locator",3,0.01
"Mclust",3,0.01
"menu",3,0.01
"mm",3,0.01
"modifyList",3,0.01
"new2",3,0.01
"nls",3,0.01
"nodeData",3,0.01
"nodeDataDefaults",3,0.01
"norm",3,0.01
"normalizationFactors",3,0.01
"numericInput",3,0.01
"organism",3,0.01
"package.version",3,0.01
"package_version",3,0.01
"pageWithSidebar",3,0.01
"pam",3,0.01
"panel.abline",3,0.01
"PartitioningByEnd",3,0.01
"path.package",3,0.01
"peaks",3,0.01
"performance",3,0.01
"permutations",3,0.01
"pheatmap",3,0.01
"pintersect",3,0.01
"pmindex",3,0.01
"pos",3,0.01
"position",3,0.01
"position_dodge",3,0.01
"position_jitter",3,0.01
"POST",3,0.01
"prediction",3,0.01
"preproc",3,0.01
"probeNames",3,0.01
"qbeta",3,0.01
"qf",3,0.01
"qr",3,0.01
"qt",3,0.01
"rawToChar",3,0.01
"rbeta",3,0.01
"rbindlist",3,0.01
"rdirichlet",3,0.01
"Re",3,0.01
"read.celfile.header",3,0.01
"read.dcf",3,0.01
"readBin",3,0.01
"rectGrob",3,0.01
"regexec",3,0.01
"remove",3,0.01
"rename",3,0.01
"reshape",3,0.01
"resid",3,0.01
"restrict",3,0.01
"revmap",3,0.01
"rma",3,0.01
"rmultinom",3,0.01
"rownames_to_column",3,0.01
"scale_fill_brewer",3,0.01
"scale_x_log10",3,0.01
"scale_y_log10",3,0.01
"scale_y_reverse",3,0.01
"scale01",3,0.01
"scanBamWhat",3,0.01
"seek",3,0.01
"segmentsGrob",3,0.01
"select_",3,0.01
"sessionInfo",3,0.01
"setkeyv",3,0.01
"sfExport",3,0.01
"sfInit",3,0.01
"sfLibrary",3,0.01
"sfStop",3,0.01
"shell",3,0.01
"sidebarLayout",3,0.01
"sort.list",3,0.01
"splitAsList",3,0.01
"splitIndicesByLength",3,0.01
"spread",3,0.01
"startsWith",3,0.01
"str_sub",3,0.01
"strata",3,0.01
"strong",3,0.01
"strptime",3,0.01
"style",3,0.01
"suppressPackageStartupMessages",3,0.01
"survdiff",3,0.01
"svm",3,0.01
"Sys.which",3,0.01
"system2",3,0.01
"tbl_df",3,0.01
"terrain.colors",3,0.01
"tiff",3,0.01
"tkbutton",3,0.01
"tkcurselection",3,0.01
"tkdestroy",3,0.01
"tkframe",3,0.01
"tkradiobutton",3,0.01
"tkwait.window",3,0.01
"topo.colors",3,0.01
"tracks",3,0.01
"transcriptsBy",3,0.01
"unlockBinding",3,0.01
"unmasked",3,0.01
"untar",3,0.01
"url.exists",3,0.01
"validMsg",3,0.01
"varLabels",3,0.01
"vcountPattern",3,0.01
"vennCounts",3,0.01
"vennDiagram",3,0.01
"withCallingHandlers",3,0.01
"write.xlsx",3,0.01
"xmlGetAttr",3,0.01
"xmlParse",3,0.01
"xmlRoot",3,0.01
"xmlValue",3,0.01
"xpathApply",3,0.01
"zip",3,0.01
".packages",2,0.01
"addRMessageHandler",2,0.01
"adist",2,0.01
"aes_",2,0.01
"aheatmap",2,0.01
"align",2,0.01
"AnnotationTrack",2,0.01
"anova",2,0.01
"as.graphicsAnnot",2,0.01
"as.POSIXct",2,0.01
"as.raw",2,0.01
"as_data_frame",2,0.01
"asinh",2,0.01
"assayData",2,0.01
"assayDataDims",2,0.01
"assayDataNew",2,0.01
"assert_that",2,0.01
"attach.big.matrix",2,0.01
"bfcnew",2,0.01
"bfcpath",2,0.01
"bfcquery",2,0.01
"binom.test",2,0.01
"BiocFileCache",2,0.01
"biocLite",2,0.01
"boxplot.stats",2,0.01
"bpmapply",2,0.01
"bpparam",2,0.01
"bpstart",2,0.01
"bpworkers",2,0.01
"browserResponseReady",2,0.01
"BStringSet",2,0.01
"by",2,0.01
"calls",2,0.01
"callSuper",2,0.01
"cdf",2,0.01
"channelNames",2,0.01
"charToRaw",2,0.01
"checkboxGroupInput",2,0.01
"cleancdfname",2,0.01
"closePage",2,0.01
"clusterApply",2,0.01
"CNOlist",2,0.01
"colFunc",2,0.01
"colMaxs",2,0.01
"colMins",2,0.01
"compareVersion",2,0.01
"consensusMatrix",2,0.01
"contrast",2,0.01
"contrib.url",2,0.01
"convolve",2,0.01
"coord_cartesian",2,0.01
"copyEnv",2,0.01
"count.fields",2,0.01
"cov2cor",2,0.01
"coverage",2,0.01
"create_filename",2,0.01
"datatable",2,0.01
"dataTableOutput",2,0.01
"DataTrack",2,0.01
"dataViewport",2,0.01
"dbClearResult",2,0.01
"dbDriver",2,0.01
"dbeta",2,0.01
"dbfile",2,0.01
"dbSendQuery",2,0.01
"decode",2,0.01
"dendrapply",2,0.01
"dev.copy",2,0.01
"dev.copy2pdf",2,0.01
"dev.flush",2,0.01
"deviance",2,0.01
"dfbetas",2,0.01
"dgamma",2,0.01
"DGEList",2,0.01
"difftime",2,0.01
"directory",2,0.01
"discretize",2,0.01
"do",2,0.01
"dQuote",2,0.01
"drop",2,0.01
"droplevels",2,0.01
"dzinbinom",2,0.01
"eapply",2,0.01
"edgeData",2,0.01
"edgeNames",2,0.01
"editGrob",2,0.01
"enc2utf8",2,0.01
"encoding",2,0.01
"entropy",2,0.01
"environmentIsLocked",2,0.01
"estimateDispersions",2,0.01
"explodeCigarOps",2,0.01
"export",2,0.01
"export.bed",2,0.01
"export.ucsc",2,0.01
"express.summary.stat.methods",2,0.01
"f0",2,0.01
"fdr",2,0.01
"fft",2,0.01
"field",2,0.01
"figure",2,0.01
"file.access",2,0.01
"file.create",2,0.01
"file_path_sans_ext",2,0.01
"file_test",2,0.01
"filebacked.big.matrix",2,0.01
"Filter",2,0.01
"filterBam",2,0.01
"filterData",2,0.01
"findNONC",2,0.01
"finish",2,0.01
"fitPLM",2,0.01
"fiveUTRsByTranscript",2,0.01
"flowFrame",2,0.01
"flowPeaks",2,0.01
"force",2,0.01
"formatC",2,0.01
"g",2,0.01
"genefilter",2,0.01
"GeneRegionTrack",2,0.01
"GeneSet",2,0.01
"GeneSetCollection",2,0.01
"genome",2,0.01
"genomeBuild",2,0.01
"geom_density",2,0.01
"geom_raster",2,0.01
"geom_ribbon",2,0.01
"geom_smooth",2,0.01
"geom_text_repel",2,0.01
"geom_violin",2,0.01
"get.adjacency",2,0.01
"get.all.sector.index",2,0.01
"get.cell.meta.data",2,0.01
"get.vertex.attribute",2,0.01
"getAnnMap",2,0.01
"getAnnotation",2,0.01
"getBM",2,0.01
"getBrowserResponse",2,0.01
"getCells",2,0.01
"getClassDef",2,0.01
"getDistinctColors",2,0.01
"getFromNamespace",2,0.01
"getGene",2,0.01
"getGeneric",2,0.01
"getNames",2,0.01
"getNodeSet",2,0.01
"getParameters",2,0.01
"getPeaks",2,0.01
"getSegments",2,0.01
"gettextf",2,0.01
"getVarianceStabilizedData",2,0.01
"ggplotGrob",2,0.01
"glmFit",2,0.01
"globalenv",2,0.01
"graphRenderInfo",2,0.01
"grglist",2,0.01
"grid",2,0.01
"grid.pretty",2,0.01
"grobHeight",2,0.01
"gzfile",2,0.01
"h4",2,0.01
"hasArg",2,0.01
"helpText",2,0.01
"hmakeTag",2,0.01
"hsv",2,0.01
"htmlParse",2,0.01
"hue_pal",2,0.01
"hwrite",2,0.01
"igraph.from.graphNEL",2,0.01
"igraph.to.graphNEL",2,0.01
"image.plot",2,0.01
"imageOutput",2,0.01
"impute.knn",2,0.01
"incProgress",2,0.01
"indexProbes",2,0.01
"induced.subgraph",2,0.01
"inner_join",2,0.01
"input",2,0.01
"inv.cdf",2,0.01
"invokeRestart",2,0.01
"is.array",2,0.01
"is.data.table",2,0.01
"is.directed",2,0.01
"is.double",2,0.01
"isCircular",2,0.01
"isSingleString",2,0.01
"isSpike",2,0.01
"isValidVersion",2,0.01
"italic",2,0.01
"iter",2,0.01
"J",2,0.01
"keytypes",2,0.01
"knit",2,0.01
"label",2,0.01
"labels",2,0.01
"layoutGraph",2,0.01
"lengths",2,0.01
"letterFrequency",2,0.01
"letterFrequencyInSlidingView",2,0.01
"liftOver",2,0.01
"list2env",2,0.01
