"","funkcja","czestosc","kategoria"
"534","smoothScatter",0.02,"A"
"535","stat_summary",0.02,"A"
"536","str",0.02,"A"
"537","summarise",0.02,"A"
"538","sys.call",0.02,"A"
"539","tabPanel",0.02,"A"
"540","testPackage",0.02,"A"
"541","textGrob",0.02,"A"
"542","uiOutput",0.02,"A"
"543","xyplot",0.02,"A"
"544","arrange",0.01,"A"
"545","assays",0.01,"A"
"546","attributes",0.01,"A"
"547","bplapply",0.01,"A"
"548","conditionalPanel",0.01,"A"
"549","content",0.01,"A"
"550","coord_flip",0.01,"A"
"551","count",0.01,"A"
"552","curve",0.01,"A"
"553","dbGetQuery",0.01,"A"
"554","dbinom",0.01,"A"
"555","degree",0.01,"A"
"556","dir.exists",0.01,"A"
"557","dnbinom",0.01,"A"
"558","eBayes",0.01,"A"
"559","expression",0.01,"A"
"560","file.rename",0.01,"A"
"561","fun",0.01,"A"
"562","geom_histogram",0.01,"A"
"563","geom_hline",0.01,"A"
"564","getSeq",0.01,"A"
"565","ggsave",0.01,"A"
"566","graph.adjacency",0.01,"A"
"567","graph.data.frame",0.01,"A"
"568","grid.layout",0.01,"A"
"569","HTML",0.01,"A"
"570","import",0.01,"A"
"571","installed.packages",0.01,"A"
"572","isGeneric",0.01,"A"
"573","isTRUEorFALSE",0.01,"A"
"574","keys",0.01,"A"
"575","ldply",0.01,"A"
"576","left_join",0.01,"A"
"577","local",0.01,"A"
"578","make.names",0.01,"A"
"579","makeGRangesFromDataFrame",0.01,"A"
"580","Map",0.01,"A"
"581","mt.rawp2adjp",0.01,"A"
"582","n",0.01,"A"
"583","NCOL",0.01,"A"
"584","NROW",0.01,"A"
"585","plotTracks",0.01,"A"
"586","pm",0.01,"A"
"587","poly",0.01,"A"
"588","promoters",0.01,"A"
"589","protocolData",0.01,"A"
"590","qplot",0.01,"A"
"591","regmatches",0.01,"A"
"592","renderDataTable",0.01,"A"
"593","rle",0.01,"A"
"594","rowsum",0.01,"A"
"595","scale_y_discrete",0.01,"A"
"596","screen",0.01,"A"
"597","setnames",0.01,"A"
"598","SimpleList",0.01,"A"
"599","source",0.01,"A"
"600","splinefun",0.01,"A"
"601","split.screen",0.01,"A"
"602","SQLite",0.01,"A"
"603","stack",0.01,"A"
"604","stopApp",0.01,"A"
"605","storage.mode",0.01,"A"
"606","storageMode",0.01,"A"
"607","str_replace_all",0.01,"A"
"608","system.time",0.01,"A"
"609","tabsetPanel",0.01,"A"
"610","threeUTRsByTranscript",0.01,"A"
"611","titlePanel",0.01,"A"
"612","updateObject",0.01,"A"
"613","upViewport",0.01,"A"
"614","url",0.01,"A"
"615","value",0.01,"A"
"616","warnings",0.01,"A"
"617","wmsg",0.01,"A"
"618","writeXStringSet",0.01,"A"
"619","xlim",0.01,"A"
"620","xmlTreeParse",0.01,"A"
"621","axTicks",0.01,"A"
"622","bitmap",0.01,"A"
"623","close.screen",0.01,"A"
"624","clusters",0.01,"A"
"625","cmdscale",0.01,"A"
"626","CNA",0.01,"A"
"627","column",0.01,"A"
"628","conditionMessage",0.01,"A"
"629","contrasts.fit",0.01,"A"
"630","cor.test",0.01,"A"
"631","countOverlaps",0.01,"A"
"632","data.matrix",0.01,"A"
"633","dev.size",0.01,"A"
"634","dpois",0.01,"A"
"635","E",0.01,"A"
"636","element_rect",0.01,"A"
"637","exonsBy",0.01,"A"
"638","experimentData",0.01,"A"
"639","ExpressionSet",0.01,"A"
"640","fileInput",0.01,"A"
"641","find.package",0.01,"A"
"642","fluidPage",0.01,"A"
"643","fread",0.01,"A"
"644","geneIds",0.01,"A"
"645","geom_rect",0.01,"A"
"646","geom_segment",0.01,"A"
"647","geom_tile",0.01,"A"
"648","geom_vline",0.01,"A"
"649","getbdry",0.01,"A"
"650","getData",0.01,"A"
"651","granges",0.01,"A"
"652","gregexpr",0.01,"A"
"653","grid.lines",0.01,"A"
"654","grid.points",0.01,"A"
"655","grid.rect",0.01,"A"
"656","hash",0.01,"A"
"657","indexBam",0.01,"A"
"658","indexFinder",0.01,"A"
"659","install.packages",0.01,"A"
"660","is.leaf",0.01,"A"
"661","keepSeqlevels",0.01,"A"
"662","kronecker",0.01,"A"
"663","last",0.01,"A"
"664","locfit",0.01,"A"
"665","lowess",0.01,"A"
"666","lp",0.01,"A"
"667","mainPanel",0.01,"A"
"668","makeContrasts",0.01,"A"
"669","Mbox",0.01,"A"
"670","method",0.01,"A"
"671","MulticoreParam",0.01,"A"
"672","multiplot",0.01,"A"
"673","nargs",0.01,"A"
"674","Negate",0.01,"A"
"675","normalize",0.01,"A"
"676","nzchar",0.01,"A"
"677","observe",0.01,"A"
"678","optimize",0.01,"A"
"679","overlapsAny",0.01,"A"
"680","panel.text",0.01,"A"
"681","pbeta",0.01,"A"
"682","pbinom",0.01,"A"
"683","percent.present",0.01,"A"
"684","pgamma",0.01,"A"
"685","pie",0.01,"A"
"686","plotAffyRNAdeg",0.01,"A"
"687","postForm",0.01,"A"
"688","qc",0.01,"A"
"689","qqnorm",0.01,"A"
"690","qvalue",0.01,"A"
"691","ratios",0.01,"A"
"692","reactiveValues",0.01,"A"
"693","reg.finalizer",0.01,"A"
"694","renameSeqlevels",0.01,"A"
"695","renderText",0.01,"A"
"696","replace",0.01,"A"
"697","results",0.01,"A"
"698","reverseComplement",0.01,"A"
"699","rowSds",0.01,"A"
"700","runmed",0.01,"A"
"701","saveXML",0.01,"A"
"702","scale_color_brewer",0.01,"A"
"703","seqlevelsInUse",0.01,"A"
"704","setDT",0.01,"A"
"705","setkey",0.01,"A"
"706","setRefClass",0.01,"A"
"707","sfs",0.01,"A"
"708","shQuote",0.01,"A"
"709","simpleError",0.01,"A"
"710","simplify",0.01,"A"
"711","simplify2array",0.01,"A"
"712","sinh",0.01,"A"
"713","sizeFactors",0.01,"A"
"714","slice",0.01,"A"
"715","smooth.CNA",0.01,"A"
"716","sort.int",0.01,"A"
"717","sortSeqlevels",0.01,"A"
"718","str_detect",0.01,"A"
"719","str_replace",0.01,"A"
"720","strheight",0.01,"A"
"721","subGraph",0.01,"A"
"722","summarize",0.01,"A"
"723","symbols",0.01,"A"
"724","Sys.Date",0.01,"A"
"725","sys.parent",0.01,"A"
"726","tcrossprod",0.01,"A"
"727","textOutput",0.01,"A"
"728","theme_classic",0.01,"A"
"729","theme_minimal",0.01,"A"
"730","theme_set",0.01,"A"
"731","tkgrid",0.01,"A"
"732","tkinsert",0.01,"A"
"733","tklabel",0.01,"A"
"734","tklistbox",0.01,"A"
"735","tkscrollbar",0.01,"A"
"736","tkset",0.01,"A"
"737","tktoplevel",0.01,"A"
"738","tkwm.title",0.01,"A"
"739","tkyview",0.01,"A"
"740","topenv",0.01,"A"
"741","toTable",0.01,"A"
"742","trim",0.01,"A"
"743","ungroup",0.01,"A"
"744","uniroot",0.01,"A"
"745","unit.c",0.01,"A"
"746","unit.pmax",0.01,"A"
"747","unzip",0.01,"A"
"748","update",0.01,"A"
"749","updateTextInput",0.01,"A"
"750","voom",0.01,"A"
"751","wellPanel",0.01,"A"
"752","window",0.01,"A"
"753","xmlName",0.01,"A"
"754","xor",0.01,"A"
"755","xtable",0.01,"A"
"756","xy2indices",0.01,"A"
"757",".Defunct",0.01,"A"
"758","actionButton",0.01,"A"
"759","alphabetFrequency",0.01,"A"
"760","annotate",0.01,"A"
"761","approxfun",0.01,"A"
"762","as.hclust",0.01,"A"
"763","as.name",0.01,"A"
"764","assayDataElement",0.01,"A"
"765","available.packages",0.01,"A"
"766","binomial",0.01,"A"
"767","body",0.01,"A"
"768","br",0.01,"A"
"769","callGeneric",0.01,"A"
"770","cbind.data.frame",0.01,"A"
"771","cdsBy",0.01,"A"
"772","chisq.test",0.01,"A"
"773","choose",0.01,"A"
"774","clusterExport",0.01,"A"
"775","coefficients",0.01,"A"
"776","collapse",0.01,"A"
"777","contour",0.01,"A"
"778","copynumber",0.01,"A"
"779","crossprod",0.01,"A"
"780","data.table",0.01,"A"
"781","dbconn",0.01,"A"
"782","dbConnect",0.01,"A"
"783","dbDisconnect",0.01,"A"
"784","dbListTables",0.01,"A"
"785","dbWriteTable",0.01,"A"
"786","dcast",0.01,"A"
"787","desc",0.01,"A"
"788","design",0.01,"A"
"789","dev.hold",0.01,"A"
"790","distfun",0.01,"A"
"791","div",0.01,"A"
"792","DNAString",0.01,"A"
"793","downloadButton",0.01,"A"
"794","dt",0.01,"A"
"795","element_line",0.01,"A"
"796","endoapply",0.01,"A"
"797","estimateSizeFactors",0.01,"A"
"798","exons",0.01,"A"
"799","facet_grid",0.01,"A"
"800","ff",0.01,"A"
"801","findInterval",0.01,"A"
"802","first",0.01,"A"
"803","fluidRow",0.01,"A"
"804","frame",0.01,"A"
"805","FUN",0.01,"A"
"806","func",0.01,"A"
"807","gather",0.01,"A"
"808","geneNames",0.01,"A"
"809","genes",0.01,"A"
"810","GenomeAxisTrack",0.01,"A"
"811","geom_abline",0.01,"A"
"812","geom_jitter",0.01,"A"
"813","geom_polygon",0.01,"A"
"814","GET",0.01,"A"
"815","get.edgelist",0.01,"A"
"816","get_showHeadLines",0.01,"A"
"817","get_showTailLines",0.01,"A"
"818","getClass",0.01,"A"
"819","getRversion",0.01,"A"
"820","ggplot_build",0.01,"A"
"821","ggplot_gtable",0.01,"A"
"822","ginv",0.01,"A"
"823","glmLRT",0.01,"A"
"824","graph.edgelist",0.01,"A"
"825","graph.intersection",0.01,"A"
"826","graphics.off",0.01,"A"
"827","grey",0.01,"A"
"828","grid.yaxis",0.01,"A"
"829","grobWidth",0.01,"A"
"830","groups",0.01,"A"
"831","hcl",0.01,"A"
"832","hclustfun",0.01,"A"
"833","heatmap",0.01,"A"
"834","Heatmap",0.01,"A"
"835","HeatmapAnnotation",0.01,"A"
"836","hr",0.01,"A"
"837","icon",0.01,"A"
"838","id",0.01,"A"
"839","IdeogramTrack",0.01,"A"
"840","import.bed",0.01,"A"
"841","initialize",0.01,"A"
"842","intensity",0.01,"A"
"843","intronsByTranscript",0.01,"A"
"844","IQR",0.01,"A"
"845","IRangesList",0.01,"A"
"846","is.atomic",0.01,"A"
"847","is.environment",0.01,"A"
"848","is.igraph",0.01,"A"
"849","is.unsorted",0.01,"A"
"850","isolate",0.01,"A"
"851","isPackageLoaded",0.01,"A"
"852","kable",0.01,"A"
"853","ldPath",0.01,"A"
"854","listLen",0.01,"A"
"855","locator",0.01,"A"
"856","Mclust",0.01,"A"
"857","menu",0.01,"A"
"858","mm",0.01,"A"
"859","modifyList",0.01,"A"
"860","new2",0.01,"A"
"861","nls",0.01,"A"
"862","nodeData",0.01,"A"
"863","nodeDataDefaults",0.01,"A"
"864","norm",0.01,"A"
"865","normalizationFactors",0.01,"A"
"866","numericInput",0.01,"A"
"867","organism",0.01,"A"
"868","package.version",0.01,"A"
"869","package_version",0.01,"A"
"870","pageWithSidebar",0.01,"A"
"871","pam",0.01,"A"
"872","panel.abline",0.01,"A"
"873","PartitioningByEnd",0.01,"A"
"874","path.package",0.01,"A"
"875","peaks",0.01,"A"
"876","performance",0.01,"A"
"877","permutations",0.01,"A"
"878","pheatmap",0.01,"A"
"879","pintersect",0.01,"A"
"880","pmindex",0.01,"A"
"881","pos",0.01,"A"
"882","position",0.01,"A"
"883","position_dodge",0.01,"A"
"884","position_jitter",0.01,"A"
"885","POST",0.01,"A"
"886","prediction",0.01,"A"
"887","preproc",0.01,"A"
"888","probeNames",0.01,"A"
"889","qbeta",0.01,"A"
"890","qf",0.01,"A"
"891","qr",0.01,"A"
