"","autor","funkcja","pakiet"
"120","Willem Talloen","new","package:methods"
"121","Willem Talloen","coef","package:stats"
"122","Willem Talloen","UseMethod","package:base"
"123","Willem Talloen","summary","package:base"
"124","Willem Talloen","glmnetUtil",NA
"125","Willem Talloen","eval","package:base"
"126","Willem Talloen","annotation",NA
"127","Willem Talloen","mget","package:base"
"128","Willem Talloen","parse","package:base"
"129","Willem Talloen","require","package:base"
"130","Willem Talloen","fvarMetadata",NA
"131","Tobias Verbeke","all","package:base"
"132","Tobias Verbeke","all.equal","package:base"
"133","Tobias Verbeke","any","package:base"
"134","Tobias Verbeke","xtable",NA
"135","Tobias Verbeke","xtable.data.frame",NA
"136","Tobias Verbeke","apply","package:base"
"137","Tobias Verbeke","as.character","package:base"
"138","Tobias Verbeke","as.data.frame","package:base"
"139","Tobias Verbeke","as.numeric","package:base"
"140","Tobias Verbeke","c","package:base"
"141","Tobias Verbeke","cat","package:base"
"142","Tobias Verbeke","xtable.matrix",NA
"143","Tobias Verbeke","character","package:base"
"144","Tobias Verbeke","class","package:base"
"145","Tobias Verbeke","colnames","package:base"
"146","Tobias Verbeke","data.frame","package:base"
"147","Tobias Verbeke","dim","package:base"
"148","Tobias Verbeke","grep","package:base"
"149","Tobias Verbeke","gsub","package:base"
"150","Tobias Verbeke","is.na","package:base"
"151","Tobias Verbeke","is.null","package:base"
"152","Tobias Verbeke","length","package:base"
"153","Tobias Verbeke","list","package:base"
"154","Tobias Verbeke","matrix","package:base"
"155","Tobias Verbeke","names",".GlobalEnv"
"156","Tobias Verbeke","ncol","package:base"
"157","Tobias Verbeke","NextMethod","package:base"
"158","Tobias Verbeke","nrow","package:base"
"159","Tobias Verbeke","paste","package:base"
"160","Tobias Verbeke","print","package:base"
"161","Tobias Verbeke","prod","package:base"
"162","Tobias Verbeke","return","package:base"
"163","Tobias Verbeke","sapply","package:base"
"164","Tobias Verbeke","seq","package:base"
"165","Tobias Verbeke","stop","package:base"
"166","Tobias Verbeke","switch","package:base"
"167","Tobias Verbeke","unlist","package:base"
"168","Tobias Verbeke","warning","package:base"
"169","Tobias Verbeke","which","package:base"
"170","Tobias Verbeke","new","package:methods"
"171","Tobias Verbeke","representation","package:methods"
"172","Tobias Verbeke","setClass","package:methods"
"173","Tobias Verbeke","setGeneric","package:methods"
"174","Tobias Verbeke","setMethod","package:methods"
"175","Tobias Verbeke","setValidity","package:methods"
"176","Tobias Verbeke","signature","package:methods"
"177","Steffi Grote","as.data.frame","package:base"
"178","Steffi Grote","as.factor","package:base"
"179","Steffi Grote","c","package:base"
"180","Steffi Grote","data","package:utils"
"181","Steffi Grote","get_expression",NA
"182","Steffi Grote","get_name",NA
"183","Steffi Grote","colnames","package:base"
"184","Steffi Grote","data.frame","package:base"
"185","Steffi Grote","list","package:base"
"186","Steffi Grote","match","package:base"
"187","Steffi Grote","merge","package:base"
"188","Steffi Grote","nrow","package:base"
"189","Steffi Grote","aggregate","package:stats"
"190","Steffi Grote","heatmap.2",NA
"191","Steffi Grote","get_signi_combis",NA
"192","Steffi Grote","load_by_name",NA
"193","Steffi Grote","mixedorder",NA
"194","Steffi Grote","get_genes_from_regions",NA
"195","Steffi Grote","order","package:base"
"196","Steffi Grote","paste","package:base"
"197","Steffi Grote","return","package:base"
"198","Steffi Grote","rownames","package:base"
"199","Steffi Grote","table","package:base"
"200","Steffi Grote","unique","package:base"
"201","Steffi Grote","rep","package:base"
"202","Steffi Grote","rev","package:base"
"203","Steffi Grote","round","package:base"
"204","Steffi Grote","sapply","package:base"
"205","Steffi Grote","stop","package:base"
"206","Steffi Grote","strsplit","package:base"
"207","Steffi Grote","warning","package:base"
"208","Steffi Grote","xor","package:base"
"209","Steffi Grote","ncol","package:base"
"210","Steffi Grote","row.names","package:base"
"211","Steffi Grote","seq_len","package:base"
"212","Steffi Grote","sort","package:base"
"213","Steffi Grote","hyper_category_test",NA
"214","Steffi Grote","hyper_randset",NA
"215","Steffi Grote","rearrange_output",NA
"216","Steffi Grote","unlock_environment",NA
"217","Steffi Grote","wilcox_category_test",NA
"218","Steffi Grote","wilcox_randset",NA
"219","Steffi Grote","substr","package:base"
"220","Steffi Grote","sum","package:base"
"221","Steffi Grote","tapply","package:base"
"222","Steffi Grote","unlist","package:base"
"223","Steffi Grote","vector","package:base"
"224","Steffi Grote","tempfile","package:base"
"225","Steffi Grote","unlockBinding","package:base"
"226","Steffi Grote","unname","package:base"
"227","Steffi Grote","heat.colors","package:grDevices"
"228","Steffi Grote","rainbow","package:grDevices"
"229","Steffi Grote","read.table","package:utils"
"230","Steffi Grote","write.table","package:utils"
"231","Yongming Andrew","apply","package:base"
"232","Yongming Andrew","colnames","package:base"
"233","Yongming Andrew","dim","package:base"
"234","Yongming Andrew","flush.console","package:utils"
"235","Yongming Andrew","assayDataElement",NA
"236","Yongming Andrew","pData",NA
"237","Yongming Andrew","factor","package:base"
"238","Yongming Andrew","length","package:base"
"239","Yongming Andrew","levels","package:base"
"240","Yongming Andrew","matrix","package:base"
"241","Yongming Andrew","missing","package:base"
"242","Yongming Andrew","return","package:base"
"243","Yongming Andrew","is","package:methods"
"244","Yongming Andrew","cor","package:stats"
"245","Yongming Andrew","featureNames",NA
"246","Yongming Andrew","getMemberEset",NA
"247","Yongming Andrew","hclusterPlot",NA
"248","Yongming Andrew","mt.rawp2adjp",NA
"249","Yongming Andrew","rownames","package:base"
"250","Yongming Andrew","which","package:base"
"251","Yongming Andrew","sort","package:base"
"252","Yongming Andrew","unique","package:base"
"253","Yongming Andrew","rep","package:base"
"254","Yongming Andrew","rowMeans","package:base"
"255","Yongming Andrew","seq","package:base"
"256","Yongming Andrew","log2","package:base"
"257","Yongming Andrew","max","package:base"
"258","Yongming Andrew","mean","package:base"
"259","Yongming Andrew","min","package:base"
"260","Yongming Andrew","names",".GlobalEnv"
"261","Yongming Andrew","order","package:base"
"262","Yongming Andrew","paste","package:base"
"263","Yongming Andrew","print","package:base"
"264","Yongming Andrew","rev","package:base"
"265","Yongming Andrew","sub","package:base"
"266","Yongming Andrew","sum","package:base"
"267","Yongming Andrew","t","package:base"
"268","Yongming Andrew","as","package:methods"
"269","Yongming Andrew","new","package:methods"
"270","Yongming Andrew","savejpg",NA
"271","Yongming Andrew","snSummary",NA
"272","Yongming Andrew","tkentry",NA
"273","Yongming Andrew","tkframe",NA
"274","Yongming Andrew","tkget",NA
"275","Yongming Andrew","tkgetOpenFile",NA
"276","Yongming Andrew","tkgrid",NA
"277","Yongming Andrew","tkinsert",NA
"278","Yongming Andrew","tklabel",NA
"279","Yongming Andrew","tklistbox",NA
"280","Yongming Andrew","tkpack",NA
"281","Yongming Andrew","tkradiobutton",NA
"282","Yongming Andrew","tkscrollbar",NA
"283","Yongming Andrew","tkselection.set",NA
"284","Yongming Andrew","tkset",NA
"285","Yongming Andrew","tktext",NA
"286","Yongming Andrew","tktoplevel",NA
"287","Yongming Andrew","tkwm.focusmodel",NA
"288","Yongming Andrew","tkwm.title",NA
"289","Yongming Andrew","tkyview",NA
"290","Yongming Andrew","vector","package:base"
"291","Yongming Andrew","Sys.time","package:base"
"292","Yongming Andrew","dev.copy","package:grDevices"
"293","Yongming Andrew","dev.off","package:grDevices"
"294","Yongming Andrew","approx","package:stats"
"295","Yongming Andrew","median","package:stats"
"296","Yongming Andrew","quantile","package:stats"
"297","Yongming Andrew","hclust","package:stats"
"298","Yongming Andrew","heatmap","package:stats"
"299","Yongming Andrew","axis","package:graphics"
"300","Yongming Andrew","box","package:graphics"
"301","Yongming Andrew","image","package:graphics"
"302","Yongming Andrew","par","package:graphics"
"303","Yongming Andrew","plot","package:graphics"
"304","Yongming Andrew","text","package:graphics"
"305","Yongming Andrew","rgb","package:grDevices"
"306","Yongming Andrew","jpeg","package:grDevices"
"307","Yongming Andrew","pdf","package:grDevices"
"308","Yongming Andrew","rainbow","package:grDevices"
"309","Yongming Andrew","intersect","package:base"
"310","Yongming Andrew","rgcolorsfunc",NA
"311","Yongming Andrew","write.csv","package:utils"
"312","Yongming Andrew","write.table","package:utils"
"313","Yongming Andrew","union","package:base"
"314","Wentao Yang","c","package:base"
"315","Wentao Yang","is.null","package:base"
"316","Wentao Yang","length","package:base"
"317","Wentao Yang","counts",NA
"318","Wentao Yang","normalFactors",NA
"319","Wentao Yang","rep","package:base"
"320","Wentao Yang","stop","package:base"
"321","Wentao Yang","message","package:base"
"322","Wentao Yang","names",".GlobalEnv"
"323","Wentao Yang","paste","package:base"
"324","Wentao Yang","is","package:methods"
"325","Wentao Yang","standardGeneric","package:base"
"326","Wentao Yang","sFactors",NA
"327","Wentao Yang","callParameterwithoutReplicates",NA
"328","Wentao Yang","estimateSizeFactorsForMatrix",NA
"329","Wentao Yang","excounts",NA
"330","Wentao Yang","return","package:base"
"331","Wentao Yang","rownames","package:base"
"332","Wentao Yang","sum","package:base"
"333","Wentao Yang","t","package:base"
"334","Wentao Yang","levels","package:base"
"335","Wentao Yang","list","package:base"
"336","Wentao Yang","log","package:base"
"337","Wentao Yang","log2","package:base"
"338","Wentao Yang","max","package:base"
"339","Wentao Yang","mean","package:base"
"340","Wentao Yang","min","package:base"
"341","Wentao Yang","missing","package:base"
"342","Wentao Yang","ncol","package:base"
"343","Wentao Yang","nrow","package:base"
"344","Wentao Yang","pmax","package:base"
"345","Wentao Yang","pmin","package:base"
"346","Wentao Yang","require","package:base"
"347","Wentao Yang","round","package:base"
"348","Wentao Yang","rowMeans","package:base"
"349","Wentao Yang","rowSums","package:base"
"350","Wentao Yang","seq","package:base"
"351","Wentao Yang","sqrt","package:base"
"352","Wentao Yang","setMethod","package:methods"
"353","Wentao Yang","setReplaceMethod","package:methods"
"354","Wentao Yang","genAFold",NA
"355","Wentao Yang","LevelstoNormFC",NA
"356","Wentao Yang","lmFit",NA
"357","Wentao Yang","locfit",NA
"358","Wentao Yang","locfunc",NA
"359","Wentao Yang","lp",NA
"360","Wentao Yang","maxRates",NA
"361","Wentao Yang","minimalDispersion",NA
"362","Wentao Yang","minRates",NA
"363","Wentao Yang","paired",NA
"364","Wentao Yang","preAFold",NA
"365","Wentao Yang","qtotalNormalized",NA
"366","Wentao Yang","ragfil",NA
"367","Wentao Yang","ReplaceOutliersByMAD",NA
"368","Wentao Yang","rowQuar",NA
"369","Wentao Yang","Sys.time","package:base"
"370","Wentao Yang","tapply","package:base"
"371","Wentao Yang","which.max","package:base"
"372","Wentao Yang","mad","package:stats"
"373","Wentao Yang","median","package:stats"
"374","Wentao Yang","model.matrix","package:stats"
"375","Wentao Yang","p.adjust","package:stats"
"376","Wentao Yang","pnbinom","package:stats"
"377","Wentao Yang","pnorm","package:stats"
"378","Wentao Yang","signature","package:methods"
"379","Wentao Yang","plot","package:graphics"
"380","Wentao Yang","validObject","package:methods"
"381","Wentao Yang","setValidity","package:methods"
"382","Wentao Yang","groups",NA
"383","Wentao Yang","predict","package:stats"
"384","Wentao Yang","quantile","package:stats"
"385","Wentao Yang","sd","package:stats"
"386","Wentao Yang","var","package:stats"
"387","Juan Pablo","as.integer","package:base"
"388","Juan Pablo","as.list","package:base"
"389","Juan Pablo","as.matrix","package:base"
"390","Juan Pablo","ac",NA
"391","Juan Pablo","stp",NA
"392","Juan Pablo","c","package:base"
"393","Juan Pablo","class","package:base"
"394","Juan Pablo","colnames","package:base"
"395","Juan Pablo","eigen","package:base"
"396","Juan Pablo","is.character","package:base"
"397","Juan Pablo","is.null","package:base"
"398","Juan Pablo","addmargins","package:stats"
"399","Juan Pablo","bcaFDR",NA
"400","Juan Pablo","fdr",NA
"401","Juan Pablo","qval",NA
"402","Juan Pablo","length","package:base"
"403","Juan Pablo","list","package:base"
"404","Juan Pablo","match.call","package:base"
"405","Juan Pablo","names",".GlobalEnv"
"406","Juan Pablo","ncol","package:base"
"407","Juan Pablo","nrow","package:base"
"408","Juan Pablo","order","package:base"
"409","Juan Pablo","paste","package:base"
"410","Juan Pablo","rep","package:base"
"411","Juan Pablo","rownames","package:base"
"412","Juan Pablo","stop","package:base"
"413","Juan Pablo","sum","package:base"
"414","Juan Pablo","t","package:base"
"415","Juan Pablo","table","package:base"
"416","Juan Pablo","vector","package:base"
"417","Juan Pablo","cor","package:stats"
"418","Juan Pablo","var","package:stats"
"419","Juan Pablo","barplot","package:graphics"
"420","Juan Pablo","mtext","package:graphics"
"421","Juan Pablo","par","package:graphics"
"422","Juan Pablo","plot","package:graphics"
"423","Juan Pablo","points","package:graphics"
"424","Juan Pablo","polygon","package:graphics"
"425","Juan Pablo","italic",NA
"426","Jane Fridlyand","abs","package:base"
"427","Jane Fridlyand","c","package:base"
"428","Jane Fridlyand","cat","package:base"
"429","Jane Fridlyand","read.table","package:utils"
"430","Jane Fridlyand","distfun",NA
"431","Jane Fridlyand","hclustfun",NA
"432","Jane Fridlyand","cbind","package:base"
"433","Jane Fridlyand","is.na","package:base"
"434","Jane Fridlyand","length","package:base"
"435","Jane Fridlyand","list","package:base"
"436","Jane Fridlyand","nrow","package:base"
"437","Jane Fridlyand","numeric","package:base"
"438","Jane Fridlyand","maPalette",NA
"439","Jane Fridlyand","mt.maxT",NA
"440","Jane Fridlyand","sample.names",NA
"441","Jane Fridlyand","lengthGain.na",NA
"442","Jane Fridlyand","lengthLoss.na",NA
"443","Jane Fridlyand","order","package:base"
"444","Jane Fridlyand","return","package:base"
"445","Jane Fridlyand","signif","package:base"
"446","Jane Fridlyand","sort","package:base"
"447","Jane Fridlyand","sum","package:base"
"448","Jane Fridlyand","unique","package:base"
"449","Jane Fridlyand","which","package:base"
"450","Jane Fridlyand","inherits","package:base"
"451","Jane Fridlyand","integer","package:base"
"452","Jane Fridlyand","log","package:base"
"453","Jane Fridlyand","matrix","package:base"
"454","Jane Fridlyand","max","package:base"
"455","Jane Fridlyand","mean","package:base"
"456","Jane Fridlyand","min","package:base"
"457","Jane Fridlyand","ncol","package:base"
"458","Jane Fridlyand","paste","package:base"
"459","Jane Fridlyand","rep","package:base"
"460","Jane Fridlyand","sapply","package:base"
"461","Jane Fridlyand","seq","package:base"
"462","Jane Fridlyand","sqrt","package:base"
"463","Jane Fridlyand","stop","package:base"
"464","Jane Fridlyand","log2.ratios",NA
"465","Jane Fridlyand","log2.ratios.imputed",NA
"466","Jane Fridlyand","phenotype",NA
"467","Jane Fridlyand","plotFreqStat",NA
"468","Jane Fridlyand","prop.na",NA
"469","Jane Fridlyand","propGain.na",NA
"470","Jane Fridlyand","propLoss.na",NA
"471","Jane Fridlyand","sd.samples",NA
"472","Jane Fridlyand","strata",NA
"473","Jane Fridlyand","survdiff",NA
"474","Jane Fridlyand","table.bac.func",NA
"475","Jane Fridlyand","threshold.func",NA
"476","Jane Fridlyand","try","package:base"
"477","Jane Fridlyand","vector","package:base"
"478","Jane Fridlyand","which.min","package:base"
"479","Jane Fridlyand","switch","package:base"
"480","Jane Fridlyand","t","package:base"
"481","Jane Fridlyand","with","package:base"
"482","Jane Fridlyand","dev.off","package:grDevices"
"483","Jane Fridlyand","pdf","package:grDevices"
"484","Jane Fridlyand","ansari.test","package:stats"
"485","Jane Fridlyand","median","package:stats"
"486","Jane Fridlyand","wilcox.test","package:stats"
"487","Jane Fridlyand","mad","package:stats"
"488","Jane Fridlyand","sd","package:stats"
"489","Jane Fridlyand","abline","package:graphics"
"490","Jane Fridlyand","close.screen","package:graphics"
"491","Jane Fridlyand","mtext","package:graphics"
"492","Jane Fridlyand","par","package:graphics"
"493","Jane Fridlyand","plot","package:graphics"
"494","Jane Fridlyand","points","package:graphics"
"495","Jane Fridlyand","screen","package:graphics"
"496","Jane Fridlyand","split.screen","package:graphics"
"497","Jane Fridlyand","title","package:graphics"
"498","Jane Fridlyand","rainbow","package:grDevices"
"499","Jane Fridlyand","postscript","package:grDevices"
"500","Jane Fridlyand","rgb","package:grDevices"
"501","Jane Fridlyand","combine.func",NA
"502","Sean Davis","cat","package:base"
"503","Sean Davis","class","package:base"
"504","Sean Davis","data.frame","package:base"
"505","Sean Davis","write.table","package:utils"
"506","Sean Davis","chromosome",NA
"507","Sean Davis","exprs",NA
"508","Sean Davis","file.path","package:base"
"509","Sean Davis","log10","package:base"
"510","Sean Davis","min","package:base"
"511","Sean Davis","ncol","package:base"
"512","Sean Davis","sprintf","package:base"
"513","Sean Davis","new","package:methods"
"514","Sean Davis","start","package:stats"
"515","Sean Davis","sampleNames",NA
"516","Sean Davis","threshold",NA
"517","Sean Davis","vals",NA
"518","Sean Davis","phenoData",NA
"519","Sean Davis","writeLines","package:base"
"520","Sean Davis","return","package:base"
"521","Sean Davis","which","package:base"
"522","Sean Davis","vector","package:base"
"523","Sean Davis","matrix","package:base"
"524","Sean Davis","missing","package:base"
"525","Sean Davis","nargs","package:base"
"526","Sean Davis","nrow","package:base"
"527","Sean Davis","numeric","package:base"
"528","Sean Davis","paste","package:base"
"529","Sean Davis","print","package:base"
"530","Sean Davis","standardGeneric","package:base"
"531","Sean Davis","stop","package:base"
"532","Sean Davis","sum","package:base"
"533","Sean Davis","as","package:methods"
"534","Sean Davis","windowChisq",NA
"535","Sean Davis","validMsg",NA
"536","Sean Davis","end","package:stats"
"537","Sean Davis","abline","package:graphics"
"538","Sean Davis","axis","package:graphics"
"539","Sean Davis","par","package:graphics"
"540","Sean Davis","plot","package:graphics"
"541","Sean Davis","getRefflat",NA
"542","Sean Davis","representation","package:methods"
"543","Sean Davis","setClass","package:methods"
"544","Sean Davis","setGeneric","package:methods"
"545","Sean Davis","setMethod","package:methods"
"546","Sean Davis","download.file","package:utils"
"547","Sean Davis","read.delim","package:utils"
"548","Sean Davis","setValidity","package:methods"
"549","Ramon Diaz-Uriarte","abs","package:base"
"550","Ramon Diaz-Uriarte","c","package:base"
"551","Ramon Diaz-Uriarte","cat","package:base"
"552","Ramon Diaz-Uriarte","buildIM",NA
"553","Ramon Diaz-Uriarte","fig2dev",NA
"554","Ramon Diaz-Uriarte","cbind","package:base"
"555","Ramon Diaz-Uriarte","ceiling","package:base"
"556","Ramon Diaz-Uriarte","class","package:base"
"557","Ramon Diaz-Uriarte","cos","package:base"
"558","Ramon Diaz-Uriarte","invisible","package:base"
"559","Ramon Diaz-Uriarte","is.null","package:base"
"560","Ramon Diaz-Uriarte","imRect",NA
"561","Ramon Diaz-Uriarte","moHTML",NA
"562","Ramon Diaz-Uriarte","plt2fig",NA
"563","Ramon Diaz-Uriarte","toHTML",NA
"564","Ramon Diaz-Uriarte","usr2dev",NA
"565","Ramon Diaz-Uriarte","lapply","package:base"
"566","Ramon Diaz-Uriarte","length","package:base"
"567","Ramon Diaz-Uriarte","list","package:base"
"568","Ramon Diaz-Uriarte","names",".GlobalEnv"
"569","Ramon Diaz-Uriarte","paste","package:base"
"570","Ramon Diaz-Uriarte","rbind","package:base"
"571","Ramon Diaz-Uriarte","return","package:base"
"572","Ramon Diaz-Uriarte","sin","package:base"
"573","Ramon Diaz-Uriarte","t","package:base"
"574","Ramon Diaz-Uriarte","UseMethod","package:base"
"575","Ramon Diaz-Uriarte","which","package:base"
"576","Ramon Diaz-Uriarte","data.frame","package:base"
"577","Ramon Diaz-Uriarte","date","package:base"
"578","Ramon Diaz-Uriarte","deparse","package:base"
"579","Ramon Diaz-Uriarte","diff","package:base"
"580","Ramon Diaz-Uriarte","dir.create","package:base"
"581","Ramon Diaz-Uriarte","double","package:base"
"582","Ramon Diaz-Uriarte","duplicated","package:base"
"583","Ramon Diaz-Uriarte","environment","package:base"
"584","Ramon Diaz-Uriarte","environmentName","package:base"
"585","Ramon Diaz-Uriarte","eval","package:base"
"586","Ramon Diaz-Uriarte","exists","package:base"
"587","Ramon Diaz-Uriarte","factor","package:base"
"588","Ramon Diaz-Uriarte","file.exists","package:base"
"589","Ramon Diaz-Uriarte","file.path","package:base"
"590","Ramon Diaz-Uriarte","floor","package:base"
"591","Ramon Diaz-Uriarte","formals","package:base"
"592","Ramon Diaz-Uriarte","usr2plt",NA
"593","Ramon Diaz-Uriarte","usr2png",NA
"594","Ramon Diaz-Uriarte","xytrans",NA
"595","Ramon Diaz-Uriarte","xytrans2",NA
"596","Ramon Diaz-Uriarte","caughtOurError2",NA
"597","Ramon Diaz-Uriarte","caughtUserError2",NA
"598","Ramon Diaz-Uriarte","chrBreakpoints",NA
"599","Ramon Diaz-Uriarte","cluster.clean.quit.Web",NA
"600","Ramon Diaz-Uriarte","clusterApply",NA
"601","Ramon Diaz-Uriarte","clusterApplyLB",NA
"602","Ramon Diaz-Uriarte","create.aCGH",NA
"603","Ramon Diaz-Uriarte","createTableArrChrom",NA
"604","Ramon Diaz-Uriarte","daglad.ADa.1",NA
"605","Ramon Diaz-Uriarte","delete",NA
"606","Ramon Diaz-Uriarte","DelRegionTooSmall",NA
"607","Ramon Diaz-Uriarte","detectCores",NA
"608","Ramon Diaz-Uriarte","distribute",NA
"609","Ramon Diaz-Uriarte","expungeNA",NA
"610","Ramon Diaz-Uriarte","ff",NA
"611","Ramon Diaz-Uriarte","ffListOut",NA
"612","Ramon Diaz-Uriarte","fforder",NA
"613","Ramon Diaz-Uriarte","ffVecOut",NA
"614","Ramon Diaz-Uriarte","filename",NA
"615","Ramon Diaz-Uriarte","gc","package:base"
"616","Ramon Diaz-Uriarte","get","package:base"
"617","Ramon Diaz-Uriarte","getwd","package:base"
"618","Ramon Diaz-Uriarte","identical","package:base"
"619","Ramon Diaz-Uriarte","ifelse","package:base"
"620","Ramon Diaz-Uriarte","inherits","package:base"
"621","Ramon Diaz-Uriarte","integer","package:base"
"622","Ramon Diaz-Uriarte","is.factor","package:base"
"623","Ramon Diaz-Uriarte","is.infinite","package:base"
"624","Ramon Diaz-Uriarte","is.na","package:base"
"625","Ramon Diaz-Uriarte","is.nan","package:base"
"626","Ramon Diaz-Uriarte","is.numeric","package:base"
"627","Ramon Diaz-Uriarte","list.files","package:base"
"628","Ramon Diaz-Uriarte","load","package:base"
"629","Ramon Diaz-Uriarte","local","package:base"
"630","Ramon Diaz-Uriarte","log","package:base"
"631","Ramon Diaz-Uriarte","log2","package:base"
"632","Ramon Diaz-Uriarte","dev.cur","package:grDevices"
"633","Ramon Diaz-Uriarte","dev.off","package:grDevices"
"634","Ramon Diaz-Uriarte","median","package:stats"
"635","Ramon Diaz-Uriarte","pnorm","package:stats"
"636","Ramon Diaz-Uriarte","na.omit","package:stats"
"637","Ramon Diaz-Uriarte","qnorm","package:stats"
"638","Ramon Diaz-Uriarte","runif","package:stats"
"639","Ramon Diaz-Uriarte","lines","package:graphics"
"640","Ramon Diaz-Uriarte","par","package:graphics"
"641","Ramon Diaz-Uriarte","rect","package:graphics"
"642","Ramon Diaz-Uriarte","strheight","package:graphics"
"643","Ramon Diaz-Uriarte","strwidth","package:graphics"
"644","Ramon Diaz-Uriarte","symbols","package:graphics"
"645","Ramon Diaz-Uriarte","rug","package:graphics"
"646","Ramon Diaz-Uriarte","text","package:graphics"
"647","Ramon Diaz-Uriarte","dev.set","package:grDevices"
"648","Ramon Diaz-Uriarte","png","package:grDevices"
